CommodityCode,Group
210,Plow & Planter
270,Plow & Planter
280,Plow & Planter
281,Plow & Planter
282,Plow & Planter
283,Plow & Planter
29A,Plow & Planter
290,Plow & Planter
291,Plow & Planter
292,Plow & Planter
293,Plow & Planter
294,Plow & Planter
295,Plow & Planter
310,Plow & Planter
311,Plow & Planter
312,Plow & Planter
313,Plow & Planter
314,Plow & Planter
315,Plow & Planter
316,Plow & Planter
346,Hay
347,Hay
348,Hay
350,Hay
351,Hay
352,Hay
353,Hay
355,Hay
356,Hay
360,Hay
361,Hay
362,Hay
363,Hay
368,Hay
370,Hay
33A,Combine
33B,Combine
378,Combine
379,Combine
38A,Combine
380,Combine
381,Combine
382,Combine
383,Combine
384,Combine
385,Combine
386,Combine
387,Combine
388,Combine
389,Combine
481,Combine
482,Combine
483,Combine
484,Combine
485,Combine
486,Combine
487,Combine
488,Combine
489,Combine
28A,Sprayer
28B,Sprayer
28D,Sprayer
28E,Sprayer
28I,Sprayer
28Z,Sprayer
490,Sprayer
493,Sprayer
320,Drill
321,Drill
322,Drill
323,Drill
39A,Cotton Strippers
39B,Cotton Strippers
39C,Cotton Strippers
396,Cotton Strippers
397,Cotton Strippers
398,Cotton Strippers
390,Cotton Pickers
391,Cotton Pickers
392,Cotton Pickers
393,Cotton Pickers
394,Cotton Pickers
395,Cotton Pickers
399,Cotton Pickers
03A,Cotton Pickers
250,Tillage
263,Tillage
265,Tillage
26L,Tillage
264,Tillage
224,Tillage
226,Tillage
227,Tillage
228,Tillage
229,Tillage
230,Tillage
231,Tillage
232,Tillage
233,Tillage
234,Tillage
235,Tillage
236,Tillage
237,Tillage
238,Tillage
239,Tillage
23N,Tillage
24N,Tillage
26M,Tillage
26N,Tillage
26O,Tillage
26P,Tillage
26Q,Tillage
26R,Tillage
26U,Tillage
08B,Parker
08C,Parker
08D,Parker
08F,Parker
08G,Parker
08H,Parker
08I,Parker
08J,Parker
08K,Parker
08O,Parker
08P,Parker
50A,Toys
50B,Toys
708,Cut
709,Cut
710,Cut
711,Cut
712,Cut
713,Cut
720,Cut
731,Cut
741,Cut
751,Cut
761,Cut
775,Cut
776,Cut
777,Cut
778,Cut
779,Cut
780,Cut
781,Cut
790,Cut
793,Cut
795,Cut
796,Cut
501,Deere Filters
502,Deere Filters
503,Deere Filters
504,Deere Filters
505,Deere Filters
506,Deere Filters
507,Deere Filters
508,Deere Filters
509,Deere Filters
511,Deere Filters
512,Deere Filters
513,Deere Filters
514,Deere Filters
515,Deere Filters
970,Deere Filters
26A,Fleetgard Filters
26B,Fleetgard Filters
26C,Fleetgard Filters
26D,Fleetgard Filters
26E,Fleetgard Filters
26F,Fleetgard Filters
26G,Fleetgard Filters
26H,Fleetgard Filters
26I,Fleetgard Filters
26J,Fleetgard Filters
26K,Fleetgard Filters
26T,Fleetgard Filters
26V,Fleetgard Filters
26Z,Fleetgard Filters
572,Hardware
573,Hardware
574,Hardware
575,Hardware
576,Hardware
577,Hardware
590,Hardware
57A,Hardware
57B,Hardware
57C,Hardware
57D,Hardware
57E,Hardware
57F,Hardware
57G,Hardware
57H,Hardware
57I,Hardware
57J,Hardware
57K,Hardware
57L,Hardware
57M,Hardware
57N,Hardware
57O,Hardware
57P,Hardware
57Q,Hardware
57R,Hardware
57T,Hardware
05A,Batteries
05B,Batteries
05E,Batteries
05F,Batteries
05G,Batteries
05H,Batteries
05I,Batteries
05L,Batteries
05M,Batteries
05N,Batteries
05P,Batteries
05Z,Batteries
B1A,Oil
B2A,Oil
01A,Oil
01B,Oil
02A,Oil
02B,Oil
04A,Oil
04B,Oil
04C,Oil
04E,Oil
04H,Oil
04Z,Oil
13M,Oil
48B,Oil
609,Teth
610,Teth
611,Teth
612,Teth
613,Teth
615,Teth
616,Teth
620,Teth
630,Teth
640,Teth
652,Teth
653,Teth
654,Teth
655,Teth
