"Account Number","Engagement Level","Estimated Acres","Engaged Acre Breadth","Engaged Acre Depth","Highly Engaged Acres","Prepare Acres","Plant Acres","Apply Acres","Harvest Acres"
"54975","Highly Engaged Retained","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"53859","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"33172","Highly Engaged Retained","","1607.00","732.00","732.00","532.00","1232.00","1174.00","887.00"
"36899","Land & Digital","","4656.00","243.00","0.00","619.00","438.00","4656.00","88.00"
"29452","Highly Engaged Retained","","13212.00","11291.00","11291.00","13008.00","11571.00","11857.00","4712.00"
"50296","Highly Engaged Retained","8000","6096.00","3861.00","3861.00","3867.00","3762.00","6028.00","3908.00"
"16498","Land & Digital","","3388.00","0.00","0.00","0.00","1.00","3388.00","0.00"
"28642","Highly Engaged Retained","","2.00","0.00","0.00","0.00","0.00","2.00","0.00"
"19638","Highly Engaged Retained","20000","17977.00","13736.00","13736.00","14981.00","11322.00","17390.00","14215.00"
"38416","Land & Digital","","406.00","61.00","0.00","97.00","364.00","405.00","0.00"
"60844","Highly Engaged Retained","5000","6187.00","5182.00","5182.00","5790.00","5433.00","5741.00","2987.00"
"52314","Land & Digital","4500","9490.00","14.00","0.00","5.00","36.00","9489.00","3824.00"
"54372","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"35414","Highly Engaged Retained","","18393.00","13034.00","13034.00","6333.00","16084.00","17438.00","12245.00"
"282","Highly Engaged","","8842.00","4795.00","4795.00","6295.00","8592.00","7244.00","0.00"
"39016","Highly Engaged Retained","","10179.00","7683.00","7683.00","9172.00","7536.00","9673.00","182.00"
"2316","Highly Engaged Retained","","14491.00","10103.00","10103.00","10281.00","10916.00","13585.00","5342.00"
"160","Highly Engaged Retained","","27869.00","17332.00","17332.00","22490.00","15935.00","22645.00","13304.00"
"29333","Highly Engaged Retained","","12977.00","8408.00","8408.00","11383.00","9289.00","12061.00","2255.00"
"18597","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16589","Highly Engaged Retained","7000","5003.00","3527.00","3527.00","3554.00","3704.00","4560.00","2064.00"
"168","Highly Engaged Retained","","3717.00","1895.00","1895.00","1933.00","2997.00","3669.00","128.00"
"326","Land & Digital","","3367.00","0.00","0.00","0.00","0.00","269.00","3367.00"
"38290","Land & Digital","","2682.00","0.00","0.00","3.00","2682.00","212.00","0.00"
"29264","Highly Engaged Retained","10000","2340.00","1289.00","1289.00","1965.00","1644.00","2004.00","2.00"
"50382","R12 Digitally Engaged","8000","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"37434","Highly Engaged Retained","7500","1964.00","660.00","660.00","1179.00","602.00","1766.00","593.00"
"32798","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"55928","Highly Engaged Retained","5000","70477.00","1381.00","1381.00","2658.00","1714.00","70087.00","1646.00"
"20812","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30395","Land & Digital","","5737.00","15.00","0.00","5323.00","2571.00","19.00","0.00"
"28579","Highly Engaged Retained","","6383.00","0.00","0.00","0.00","2854.00","6342.00","0.00"
"54987","R12 Digitally Engaged","","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
