ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
2542,Sales,MeasuresTable,,,"
SUM ( Combined_Sales_Data[Sales_YTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",9fd4edaf-a056-4342-bc51-25e042c9c6b5
2547,Sales Margin,MeasuresTable,,,"
SUM ( Combined_Sales_Data[Margin_YTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",7d2f6bea-23a8-42d1-b450-765ae4c531ba
2555,Parts,MeasuresTable,,,"
SUM ( Parts_Data[Sales YTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",bc3c4cd0-c3fb-4913-833f-37f2189b118b
2560,Parts Margin,MeasuresTable,,,"
SUM ( Parts_Data[Margin YTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",6922fa44-4140-48e6-bcaf-627ddf3d20aa
2568,Service,MeasuresTable,,,"
SUM ( Service_Data[Sales YTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",4a8bb3d8-820f-4c12-a75d-cd8ec3ac8b0b
2573,Service Margin,MeasuresTable,,,"
SUM ( Service_Data[Margin YTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",4ae82a02-47e9-4cda-837e-4f225b50d976
2695,Sales PYTD,MeasuresTable,,,"
SUMX(
    VALUES(Combined_Sales_Data[Sales_PYTD]),
    Combined_Sales_Data[Sales_PYTD]
)",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",695ab45b-a4cd-450d-929c-ba673f630739
2698,Sales Margin PYTD,MeasuresTable,,,"
SUMX(
    VALUES(Combined_Sales_Data[Margin_PYTD]),
    Combined_Sales_Data[Margin_PYTD]
)",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",96d248b2-a442-443b-8355-0a088408aea2
2704,Parts PYTD,MeasuresTable,,,"
SUM ( Parts_Data[Sales PYTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",1746ce0f-822c-4f4a-967f-f0035e8d3c58
2709,Parts Margin PYTD,MeasuresTable,,,"
SUM ( Parts_Data[Margin PYTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",6ea84e55-fd08-425c-9d73-3eb60144d0a3
2727,Service PYTD,MeasuresTable,,,"
SUM ( Service_Data[Sales PYTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",cf52704b-2927-4cfa-abb9-b085102c8a99
2736,Service Margin PYTD,MeasuresTable,,,"
SUM ( Service_Data[Margin PYTD] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",7026ce00-9ce6-4eae-9121-5a55d1d031b0
2751,Total Sales,MeasuresTable,,,"
[Sales] + [Parts] + [Service]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",aae31e38-968e-40e1-a4d1-095dd70c4f5a
2756,Total Margin,MeasuresTable,,,"
[Sales Margin] + [Parts Margin] + [Service Margin]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",0e6e6865-a8ce-421d-a49e-99e97001fc69
2764,Total Sales PYTD,MeasuresTable,,,"
[Sales PYTD] + [Parts PYTD] + [Service PYTD]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",8b7b240d-10ac-4eb1-b78e-cade6ac8931d
2769,Total Margin PYTD,MeasuresTable,,,"
[Sales Margin PYTD] + [Parts Margin PYTD] + [Service Margin PYTD]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",bfd2867f-fc74-409b-a484-b2d7d70a554f
2811,YTD Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        DATESYTD ( 'Date'[Date] )
    )
)",,False,Valid,,False,Time intelligence\To-date total\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",152f22e4-5024-4053-9bf1-91f284bdcff7
2812,QTD Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        DATESQTD ( 'Date'[Date] )
    )
)",,False,Valid,,False,Time intelligence\To-date total\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e7475279-8249-477a-96a3-368a974ea737
2813,MTD Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        DATESMTD ( 'Date'[Date] )
    )
)",,False,Valid,,False,Time intelligence\To-date total\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",2d8d67c1-64b7-44ea-99c6-943be1ae76fd
2814,PY Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,Valid,,False,Time intelligence\Growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",0d0debb0-ba3f-4433-af41-ea4938ac5a3c
2815,YOY Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [Sales]
VAR __ValuePreviousPeriod = [PY Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",021da460-7ba1-4860-a37e-23b0697e4545
2817,PQ Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,Valid,,False,Time intelligence\Growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",fc11e621-04ca-4d9d-a6c1-b881680b650f
2818,QOQ Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [Sales]
VAR __ValuePreviousPeriod = [PQ Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",adb4c0be-5fda-4940-a7ad-0acf401b628b
2820,PM Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,Valid,,False,Time intelligence\Growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",95a6b8c8-43ea-40d0-bffe-0e3cfa35dcfd
2821,MOM Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [Sales]
VAR __ValuePreviousPeriod = [PM Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",f2a6dd2e-dad6-4a36-ac1a-92fbc7d25efe
2823,PYTD Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [YTD Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,Valid,,False,Time intelligence\To-date growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",f0397183-fbe1-4307-b2ed-f01d5f3f9fba
2824,YOYTD Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [YTD Sales]
VAR __ValuePreviousPeriod = [PYTD Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\To-date growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e2acea25-ce62-4316-8dfe-822ca75bfb9d
2826,PQTD Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [QTD Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,Valid,,False,Time intelligence\To-date growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e9cbabf3-b5f2-43f6-a389-805a5428f668
2827,QOQTD Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [QTD Sales]
VAR __ValuePreviousPeriod = [PQTD Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\To-date growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",c82abaf0-b864-4eed-a56c-cb4e8e773565
2829,PMTD Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [MTD Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,Valid,,False,Time intelligence\To-date growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e8054277-7f95-43bc-8773-8eacc1d317e3
2830,MOMTD Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [MTD Sales]
VAR __ValuePreviousPeriod = [PMTD Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\To-date growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",2aa55dbd-4a9d-4e6a-a6f1-a465db4574a6
2832,PYC Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, YEAR )
    )
)",,False,Valid,,False,Time intelligence\Growth over full period\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",63425b30-fe30-4c01-975d-d2684e74fd48
2833,YTDOPY Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [YTD Sales]
VAR __ValuePreviousPeriod = [PYC Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Growth over full period\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",ff822c7e-723f-4bae-9934-6394601b708a
2835,PQC Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, QUARTER )
    )
)",,False,Valid,,False,Time intelligence\Growth over full period\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",03b63d3e-6899-4b02-ba91-1c5e6ecf176f
2836,QTDOPQ Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [QTD Sales]
VAR __ValuePreviousPeriod = [PQC Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Growth over full period\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",fa790adc-79ec-437f-9731-63a1ecf0159d
2838,PMC Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, MONTH )
    )
)",,False,Valid,,False,Time intelligence\Growth over full period\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",a7a6176e-88bf-4992-9e5c-041948328271
2839,MTDOPM Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [MTD Sales]
VAR __ValuePreviousPeriod = [PMC Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Growth over full period\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",835238a6-7b5b-4f90-948e-a651e44602a4
2841,MAT Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales],
        DATESINPERIOD (
            'Date'[Date],
            MAX ( 'Date'[Date] ),
            -1,
            YEAR
        )
    )
)",,False,Valid,,False,Time intelligence\Moving annual growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",13cf32c7-812c-4841-95ec-881fcbc2fa30
2842,PYMAT Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [MAT Sales],
        DATEADD ( 'Date'[Date], -1, YEAR )
    )
)",,False,Valid,,False,Time intelligence\Moving annual growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",145b1e4a-2856-462b-9249-88e8c225cf7d
2843,MATG Sales,MeasuresTable,,,"
VAR __ValueCurrentPeriod = [MAT Sales]
VAR __ValuePreviousPeriod = [PYMAT Sales]
VAR __Result =
    IF (
        NOT ISBLANK ( __ValueCurrentPeriod ) && NOT ISBLANK ( __ValuePreviousPeriod ),
        __ValueCurrentPeriod - __ValuePreviousPeriod
    )
RETURN
    __Result",,False,Valid,,False,Time intelligence\Moving annual growth\Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",4ce94bf2-48fd-4ced-a7ee-2b2036cbf2f6
2845,YTD Sales Margin,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales Margin],
        DATESYTD ( 'Date'[Date] )
    )
)",,False,Valid,,False,Time intelligence\To-date total\Sales Margin,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",09ba2504-ab11-4d27-aa38-c5e72d1fedf4
2846,QTD Sales Margin,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales Margin],
        DATESQTD ( 'Date'[Date] )
    )
)",,False,Valid,,False,Time intelligence\To-date total\Sales Margin,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",440302ef-6410-49ae-b357-d3d2fc51f849
2847,MTD Sales Margin,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Sales Margin],
        DATESMTD ( 'Date'[Date] )
    )
)",,False,Valid,,False,Time intelligence\To-date total\Sales Margin,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",76641fcd-2f6f-4ef4-a00d-6f3a965c5b0e
