ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
8884,5df87c16-f924-b574-17fc-32fdb040700b,'Base_Customer_Info'[Territory] *[<->]1 'Dim_Branch'[BranchID],47f30e6c-91a3-4343-b947-cada7c633f53,True,BothDirections,False,Base_Customer_Info,Territory,Many,Dim_Branch,BranchID,One,,Single
11184,3e989706-a0a2-266d-e436-f32eb01c3f3e,'Base_Customer_Info'[Account] 1[<->]1 'Engaged Acres'[Account Number],47f30e6c-91a3-4343-b947-cada7c633f53,True,BothDirections,False,Base_Customer_Info,Account,One,Engaged Acres,Account Number,One,,Single
47681,6ddc1745-116e-b55f-577a-489b3b1bdbf8,'Base_Customer_Info'[Route Day] *[<-]1 'RouteDaySort'[Route Day],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Base_Customer_Info,Route Day,Many,RouteDaySort,Route Day,One,,Single
16017,a0c840c4-f69a-a672-8781-ca6d663e95f8,'Service_Data'[Account] *[<-]1 'Base_Customer_Info'[Account],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Service_Data,Account,Many,Base_Customer_Info,Account,One,,Single
18778,00b8844f-fcc2-33e0-6df0-a1d465c5b061,'Service_Data'[MonthYear] *[<-]1 'BridgingTable'[Year Month],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Service_Data,MonthYear,Many,BridgingTable,Year Month,One,,Single
18334,53b207b2-5c56-47de-922f-1fe43ef5748d,'Parts_Data'[Account] *[<-]1 'Base_Customer_Info'[Account],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Parts_Data,Account,Many,Base_Customer_Info,Account,One,,Single
18544,eed13cef-4313-6471-30de-fba4db51b18e,'Parts_Data'[MonthYear] *[<-]1 'BridgingTable'[Year Month],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Parts_Data,MonthYear,Many,BridgingTable,Year Month,One,,Single
18561,78b106ef-c6af-2ba9-3767-ee67d271bb9d,'Date'[Year Month] *[<-]1 'BridgingTable'[Year Month],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Date,Year Month,Many,BridgingTable,Year Month,One,,Single
11184,3e989706-a0a2-266d-e436-f32eb01c3f3e,'Engaged Acres'[Account Number] 1[<->]1 'Base_Customer_Info'[Account],47f30e6c-91a3-4343-b947-cada7c633f53,True,BothDirections,False,Engaged Acres,Account Number,One,Base_Customer_Info,Account,One,,Single
20209,2a197fd8-e1ee-811d-93f5-c2cd6a165078,'Combined_Sales_Data'[MonthYear] *[<-]1 'BridgingTable'[Year Month],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Combined_Sales_Data,MonthYear,Many,BridgingTable,Year Month,One,,Single
36818,96306cf5-91d4-5bf4-3940-9ca339b2b612,'Combined_Sales_Data'[Account] *[<-]1 'Base_Customer_Info'[Account],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,Combined_Sales_Data,Account,Many,Base_Customer_Info,Account,One,,Single
23818,50236eea-4151-b7d0-4be3-0241b6dc6a45,'InTrans_Promo'[customer_no] *[<-]1 'Base_Customer_Info'[Account],47f30e6c-91a3-4343-b947-cada7c633f53,True,OneDirection,False,InTrans_Promo,customer_no,Many,Base_Customer_Info,Account,One,,Single
