ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
14,Base_Customer_Info,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,False,Import,,,False,False,,aa5fdcc8-72fa-447d-aa9b-3cdbd0b82f10
17,Dim_Branch,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,False,Import,,,False,False,,719a0b13-5ea7-45a0-8764-f2fd9ae665cb
20,Sales_Data_YTD,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,True,Import,,,False,False,,14e448cd-55f8-4118-be2f-0cc780d0a214
23,Sales_Data_PYTD,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,True,Import,,,False,False,,bd811a48-d439-4179-995c-b4d49818d387
26,Rental_Data,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,False,Import,,,False,False,,d31eb9b9-0472-4b4e-851a-37f6a18af899
29,Service_Data,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,False,Import,,,False,False,,d6c69a31-107e-42e7-94a2-1ba8aea08b2c
32,Parts_Data,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,False,Import,,,False,False,,39d381ce-4dbf-4ed2-8699-20446917eb34
2441,MeasuresTable,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,False,Import,,"ADDCOLUMNS( GENERATESERIES(1, 1), ""DummyColumn"", 1 )",False,False,,c25d5ba8-e0eb-4100-9f6d-a4242d945e92
2584,Data Refresh,47f30e6c-91a3-4343-b947-cada7c633f53,Regular,,True,Import,,,False,False,,06fbdcce-d148-4e6d-8163-c83105330ed9
2778,DateAutoTemplate,47f30e6c-91a3-4343-b947-cada7c633f53,Time,,True,Import,,"
--  
--     Configuration
--  
VAR __FirstDayOfWeek = 0
----------------------------------------
VAR __WeekDayCalculationType = IF ( __FirstDayOfWeek = 0, 7, __FirstDayOfWeek ) + 10
VAR __Calendar = 
    VAR __FirstYear = YEAR ( MINX ( { MIN ( 'Data Refresh'[CurrentDateTime] ), MIN ( 'Data Refresh'[Date] ) }, ''[Value] ) )
    VAR __LastYear =  YEAR ( MAXX ( { MAX ( 'Data Refresh'[CurrentDateTime] ), MAX ( 'Data Refresh'[Date] ) }, ''[Value] ) )
    RETURN CALENDAR (
        DATE ( __FirstYear, 1, 1 ),
        DATE ( __LastYear, 12, 31 )
    )
VAR __Step3 = 
    GENERATE (
        __Calendar,
        VAR __IsStandardLocale = IF ( FORMAT( DATE( 2000, 1, 1 ), ""oooo"" ) = ""oooo"", TRUE, FALSE )
        VAR __MonthFormatString = IF( __IsStandardLocale, ""mmm"", ""ooo"" )
        VAR __DayFormatString = IF( __IsStandardLocale, ""ddd"", ""aaa"" )
        VAR __LastTransactionDate = MAXX ( { MAX ( 'Data Refresh'[CurrentDateTime] ), MAX ( 'Data Refresh'[Date] ) }, ''[Value] )
        VAR __Date = [Date]
        VAR __YearNumber = YEAR ( __Date )
        VAR __QuarterNumber = QUARTER ( __Date )
        VAR __YearQuarterNumber = CONVERT ( __YearNumber * 4 + __QuarterNumber - 1, INTEGER )
        VAR __MonthNumber = MONTH ( __Date )
        VAR __WeekDayNumber = WEEKDAY ( __Date, __WeekDayCalculationType )
        VAR __WeekDay = FORMAT ( __Date, __DayFormatString )
        RETURN ROW ( 
            ""Year"", __YearNumber,
            ""Year Quarter Number"", __YearQuarterNumber,
            ""Year Quarter"", FORMAT ( __QuarterNumber, ""\Q0"" ) & ""-"" & FORMAT ( __YearNumber, ""0000"" ),
            ""Quarter"", FORMAT( __QuarterNumber, ""\Q0"" ),
            ""Year Month"", FORMAT ( __Date, __MonthFormatString & "" yyyy"" ),
            ""Year Month Number"", __YearNumber * 12 + __MonthNumber - 1,
            ""Month"", FORMAT ( __Date, __MonthFormatString ),
            ""Month Number"", __MonthNumber,
            ""Day of Week Number"", __WeekDayNumber,
            ""Day of Week"", __WeekDay,
            ""DateWithTransactions"", __Date <= __LastTransactionDate 
        )
    )
RETURN
    __Step3",False,False,,8aafc566-3b32-4f79-898c-38ab1da23a01
