"DataflowName","Workspace","WorkspaceId","Category","StructureType","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","Status","Notes","DataflowId"
"DF_ArMaster_Financial_copy1","LH - Financial_Data_Prep","8e81063f-e344-46d0-9741-535ff8576019","AdHoc","Old","Daily","02:00","High","","5","Review","","4636d657-c81c-4673-b2ec-13cab7934ae1"
"DF_Invoiced_Payroll_copy1","LH - Financial_Data_Prep","8e81063f-e344-46d0-9741-535ff8576019","AdHoc","Old","Daily","02:00","High","","5","Review","","95f907fa-1903-417b-aa5d-6754781132a6"
"DF_WIP_Report","LH - Service_Data_Prep","87f2b2b0-eec0-418b-93e0-c8bd9918949e","AdHoc","Old","Daily","02:00","High","","5","Review","","db8df9d6-acc2-4836-a791-ead4e609bcea"
"df_ArMaster_Contact_Raw","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","New","Daily","02:00","High","","5","Active","","bcd34b05-a284-44d8-aca3-5b5f712836b7"
"df_ArMaster_Customer_Raw","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","New","Daily","02:00","High","","5","Active","","dd67cada-c4a7-4c07-8b30-750e77327617"
"df_ARMASTER_Raw","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","New","Daily","02:00","High","","5","Active","","ed2d46f0-2967-446d-b079-7215e8eff31f"
"df_BranchOperational_Raw","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","New","Daily","02:00","High","","5","Active","","9ac2bae8-cb96-4a24-8c7c-c648cf3735cb"
"df_CONTACT_Raw","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","New","Daily","02:00","High","","5","Active","","86158379-8c1b-4154-a009-d50939a36e9f"
"df_Customer_ID_Analysis","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","AdHoc","New","Daily","02:00","High","","5","Active","","227e91cc-5000-47fe-a9a3-646e5b4d04a8"
"df_CustomerAnatomy_Raw","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","New","Daily","02:00","High","","5","Active","","a7c8f332-a844-446a-97bc-ea6e677dcb8f"
"df_Dim_Branch","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","6ecdd9b7-ee9a-4a16-98df-ea2404fe3324"
"df_Dim_Branch12_Parts","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","ecdafdc3-ee30-4426-9ebe-09382a526c42"
"df_Dim_BranchFranchise","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","a2b8a065-f989-4882-8b1c-933336356c9f"
"df_Dim_CommodityCode","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","d389c8e0-12c5-4ad9-8c2b-00e4c91a82f8"
"df_Dim_Customer","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","d6f7eb7c-06a8-45f4-ac89-ce452b223db8"
"df_Dim_Date","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","434cc5ec-29e2-4093-b95b-ae2c5ae40d90"
"df_Dim_DealerGroupCode","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","28a80956-959f-4472-a442-d648f23882aa"
"df_Dim_Franchise","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","5cda755b-e129-45b0-83c1-2dfac15614fe"
"df_Dim_InvoiceLookup","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","81dda76b-3c12-4a3a-b6f3-431d69af2d5a"
"df_Dim_JobCode","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","994604c6-01e9-4e91-8011-bd0e3969bf4f"
"df_Dim_JobType","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","25ec8ed1-95fb-4028-8ddc-fd8f01e713db"
"df_Dim_Location","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","fd3cdedf-ba6d-447e-843a-21b961285b6c"
"df_Dim_ModuleType","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","b44f85b5-3ddb-46e5-8b15-2fce0452a8bc"
"df_Dim_Part","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","8cfb4e20-a5d5-431f-9750-62bada6d30d2"
"df_Dim_PaymentMethod","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","0103a6f8-c83c-4460-9ffe-e1ad49ad5642"
"df_Dim_SLC","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","16f17b3f-bd92-49e0-9a19-968ac50bd868"
"df_Dim_SlicerControl","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","8d6cce3f-e5fc-43df-910a-237e0edc000d"
"df_Dim_Source","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","3a88a8b1-2aae-4fee-b6f5-3fc46366dc9a"
"df_Dim_Technicans","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","60982906-cc0d-455b-a187-530a9b738965"
"df_Dim_UniqueCustomers","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","0d288c86-16bc-4fb8-92a7-a5763fc9d5f0"
"df_Dim_Vehicle","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","1cd56ec0-bb4d-4015-b9ba-4ba64ae80c92"
"df_Dim_VendorCode","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","f5fea865-b290-4456-adc4-0aaf419af1b8"
"df_Dim_WorkOrderLookup","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","ad278814-ace7-4e36-817b-9244fb42dbe0"
"df_Dim_WorkOrderMaster","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","f8ea0151-f8a7-4c41-b45d-d86e7235008b"
"df_Dim_WorkOrderStatus","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","065735ae-0068-4c2e-ad51-649d19ddc1e1"
"df_Dim_WorkOrderType","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","New","Daily","02:00","High","","5","Active","","9fe296a6-5fab-46b6-b53c-00337c72001c"
"df_Fact_Branch12_Transactions","LH_Master_Data","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","New","Daily","02:00","High","","5","Active","","00f5fd1b-628e-45b7-a458-89528bac8d09"
