"DataflowName","Workspace","Category","StructureType","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","CUProfile","Status","Notes","DataflowId","WorkspaceId"
"DF_ArMaster_Financial_copy1","LH - Financial_Data_Prep","AdHoc","Old","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","4636d657-c81c-4673-b2ec-13cab7934ae1","8e81063f-e344-46d0-9741-535ff8576019"
"DF_Invoiced_Payroll_copy1","LH - Financial_Data_Prep","AdHoc","Old","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","95f907fa-1903-417b-aa5d-6754781132a6","8e81063f-e344-46d0-9741-535ff8576019"
"DF_WIP_Report","LH - Service_Data_Prep","AdHoc","Old","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","db8df9d6-acc2-4836-a791-ead4e609bcea","87f2b2b0-eec0-418b-93e0-c8bd9918949e"
"df_ArMaster_Contact_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","bcd34b05-a284-44d8-aca3-5b5f712836b7","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_ArMaster_Customer_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","dd67cada-c4a7-4c07-8b30-750e77327617","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_ARMASTER_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ed2d46f0-2967-446d-b079-7215e8eff31f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_BranchOperational_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","9ac2bae8-cb96-4a24-8c7c-c648cf3735cb","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_CONTACT_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","86158379-8c1b-4154-a009-d50939a36e9f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Customer_ID_Analysis","LH_Master_Data","AdHoc","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","227e91cc-5000-47fe-a9a3-646e5b4d04a8","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_CustomerAnatomy_Raw","LH_Master_Data","RawSource","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","a7c8f332-a844-446a-97bc-ea6e677dcb8f","b48cdb35-7ce3-46de-96df-d70db77649cb"
"df_Dim_Branch","LH_Master_Data","Dimension","New","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","6ecdd9b7-ee9a-4a16-98df-ea2404fe3324","b48cdb35-7ce3-46de-96df-d70db77649cb"
