"DataflowName","DataflowId","WorkspaceId","Category","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","Status","Notes"
"df_WKROFILE_Raw","74c88e8e-8144-479b-a4be-f927bb1b9656","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WKVEHFL_Raw","e21097ce-ae22-49e6-a639-15dcb7ef1eb6","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_VHSTOCK_Raw","157b0f2d-0329-47ed-ab13-48289a34753c","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WKOTHSUB_Raw","5398a34b-d479-4d89-8048-0c6e0823f7c4","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WKINVREG_Raw","b0e46e25-4fe4-4b97-808e-0840a2347c18","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WKRODESC_Raw","1e6bc9c8-b408-4650-ac5d-9adf7213f500","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WKMECHWK_Raw","a5328184-b414-49f9-bdb7-ee361e774718","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_WARSUBCI_LABOUR_Raw","5b3742df-92e4-4f71-bd9b-8286108e1bf2","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_INTRANS_Raw","af4de861-78bd-4266-9e9f-224df87a0e0b","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_CONTACT_Raw","86158379-8c1b-4154-a009-d50939a36e9f","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_ARMASTER_Raw","ed2d46f0-2967-446d-b079-7215e8eff31f","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Transform_Customers","26204c15-7caa-4c9f-bc53-e95ba831d05b","b48cdb35-7ce3-46de-96df-d70db77649cb","Transformation","Daily","02:00","High","","5","Active",""
"df_Transform_Vehicles","5dc5a372-a221-420f-af2d-351e8dd8bc8c","b48cdb35-7ce3-46de-96df-d70db77649cb","Transformation","Daily","02:00","High","","5","Active",""
"df_Transform_Jobs","090b12ba-72fd-496e-ab32-d2de8503870f","b48cdb35-7ce3-46de-96df-d70db77649cb","Transformation","Daily","02:00","High","","5","Active",""
"df_INSALORD_Raw","11fbbb6a-3761-4413-a308-6cf175dd46e4","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_INSALPAR_Raw","2fe2672f-a592-4848-b714-8bea2941b02e","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_JDIS_PART_INFORMATION_Raw","5b7af2e1-fcdd-4466-a1a8-7b894baba501","b48cdb35-7ce3-46de-96df-d70db77649cb","RawSource","Daily","02:00","High","","5","Active",""
"df_Transform_Parts","cf4277d9-3f11-4702-ac89-c3ee4ed39469","b48cdb35-7ce3-46de-96df-d70db77649cb","Transformation","Daily","02:00","High","","5","Active",""
"df_Fact_Part_Transactions","3c083680-0474-4125-ab86-6fe40643a348","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Fact_Inventory","c1fe617e-f7c9-40d2-8856-1a366070c9ee","b48cdb35-7ce3-46de-96df-d70db77649cb","FactTable","Daily","02:00","High","","5","Active",""
"df_Dim_Part","8cfb4e20-a5d5-431f-9750-62bada6d30d2","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_BranchFranchise","a2b8a065-f989-4882-8b1c-933336356c9f","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_Date","434cc5ec-29e2-4093-b95b-ae2c5ae40d90","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
"df_Dim_Franchise","5cda755b-e129-45b0-83c1-2dfac15614fe","b48cdb35-7ce3-46de-96df-d70db77649cb","Dimension","Daily","02:00","High","","5","Active",""
