"DataflowName","Workspace","Category","RefreshFrequency","RefreshTime","Priority","DependsOn","EstimatedDurationMinutes","CUProfile","Status","Notes","DataflowId"
"df_ArMaster_Contact_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","bcd34b05-a284-44d8-aca3-5b5f712836b7"
"df_ArMaster_Customer_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","dd67cada-c4a7-4c07-8b30-750e77327617"
"df_ARMASTER_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","ed2d46f0-2967-446d-b079-7215e8eff31f"
"df_Branch_Name_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","58a7d34b-2ad5-4af2-ae09-c0334bc107f6"
"df_BranchOperational_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","9ac2bae8-cb96-4a24-8c7c-c648cf3735cb"
"df_CONTACT_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Active","","86158379-8c1b-4154-a009-d50939a36e9f"
"df_Customer_ID_Analysis","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","227e91cc-5000-47fe-a9a3-646e5b4d04a8"
"df_CustomerAnatomy_Raw","LH_Master_Data","RawSource","Daily","NEEDS_SCHEDULING","High","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","Inactive","","a7c8f332-a844-446a-97bc-ea6e677dcb8f"
"df_CustomerLookup","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","11ae9519-5915-41b7-943c-1b50675edf24"
"df_DealerGroupCode_Analysis","LH_Master_Data","AdHoc","Manual","NEEDS_SCHEDULING","Low","NEEDS_MAPPING","NEEDS_BASELINE","NEEDS_BASELINE","AdHoc","","a5503b91-5be4-4369-abd3-6131ad0b0040"
