ReportName,WorkspacePublished,ReportId,DatasetId,DatasetName,DataLocation,DataflowsUsed,TablesUsed,UpdateSchedule,LastUpdated,MigrationStatus,Notes
First Pass Fill,RP - Parts Reports,9ec77b5f-82a9-403e-a331-5a012c1884e2,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Negative On Hand-On Hand No Bin,RP - Parts Reports,eeb5fb96-f536-4244-b580-276c07434ac6,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Unique Parts Customers,RP - Parts Reports,2385aaf8-dfe2-4679-8231-9ff8aac0add6,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Combine Vault Transfers,RP - Parts Reports,09164bc7-5726-4043-8c0b-886a3491e81c,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Parts Sales with Low Margins,RP - Parts Reports,db9b084f-b4bb-46c2-b2b7-ad7b3274beea,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Physical Inventory,RP - Parts Reports,adcea6a5-2062-4caf-8296-d1627e5963bf,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Parts Adjustments,RP - Parts Reports,e2f669b5-b4cf-4ba8-a53c-192b6d4136d6,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Parts with Open Orders,RP - Parts Reports,8a5f7584-8f27-4e4f-91d0-2f566d875b83,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Bin Location Report,RP - Parts Reports,eae918c0-964d-472a-921d-71764d9ab72b,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
60+ Days Past Due,RP - Financial Reports,0fc37fea-0230-46f9-9e41-410bf55c7bdd,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Labor Performance,RP - Service Reports,8e148845-dc64-4025-83f3-3bd9130989b1,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Inspections,RP - Service Reports,849253a9-23c3-4ab3-b075-c07e6243edaf,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Open Work Orders,RP - Service Reports,caa8e339-34be-4b91-8d70-95cd0d634adf,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Planter Inspection Part Sales,RP - Service Reports,b3a6f9ba-d084-4baa-94e3-85e2004e4a68,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
WIP,RP - Sandbox,125c4dc7-af84-41e7-ad5d-b27a9268b3fd,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Table and Column Names,RP - Sandbox,18e162c6-f7b2-4f29-9e7e-1b70da054cb0,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Parts Promo V2,RP - Sandbox,167ea352-7fa8-4755-993f-fd22a3f8c47a,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Customer Anatomy,RP - Sandbox,a7fac85d-d465-46f1-9bf4-a11d705bb913,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Key Customers,RP - Sandbox,0acb20d9-ebff-4af8-b340-4d7584be2884,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Inventory Analysis V3,RP - Sandbox,832d4074-6877-43aa-b3b7-0ec6a732cf4c,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Price Matrix V2,RP - Sandbox,1b4a79d4-c8f7-4405-aaab-710394c02f59,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Unique Parts Customers V2,RP - Sandbox,7595e994-f8f5-4b54-94ee-39adf33467d7,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Sparc Inventory Health,RP - Sandbox,d5c8e132-c850-47a3-aece-3483938b9392,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
First Pass Fill V2,RP - Sandbox,1d08824b-a402-4508-a84a-e55f5b52782a,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Top 50 - Job Codes,RP - Sandbox,bdb39d93-8033-4c6c-bbb3-086e73d3ccca,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
Combine Vault Sales,RP - Sandbox,62b52967-05de-4549-b8ae-860d8220d6da,Unknown,Unknown,Unknown,MANUAL_ENTRY_REQUIRED,MANUAL_ENTRY_REQUIRED,Unknown,Unknown,To Be Determined,
