ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
19,firstname,Technician_Code_Names,Text,Regular,,False,False,False,True,Default,None,,Data,firstname,,,True,,GroupOnValue,,,,34d87312-2878-4536-8d2a-fcea2b792a31
20,lastname,Technician_Code_Names,Text,Regular,,False,False,False,True,Default,None,,Data,lastname,,,True,,GroupOnValue,,,,20b8d315-3462-48ba-a483-526519b4e709
21,Name,Technician_Code_Names,Text,Regular,,False,False,False,True,Default,None,,Data,Name,,,True,,GroupOnValue,,,,93f20b9d-83c0-459b-ad9b-59bd9f8ff91f
24,Branch,TechnicianInvoice,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,c117e866-f570-450f-9fde-a0ba93103300
25,Tech #,TechnicianInvoice,Text,Regular,,False,False,False,True,Default,None,,Data,Tech #,,,True,,GroupOnValue,,,,0a7d4387-d413-4fcb-910f-74c53eecc574
35,JobCode,TechnicianInvoice,Text,Regular,,False,False,False,True,Default,None,,Data,JobCode,,,True,,GroupOnValue,,,,b8ad8198-a688-402c-9322-43ba15fb561b
36,JobType,TechnicianInvoice,Text,Regular,,False,False,False,True,Default,None,,Data,JobType,,,True,,GroupOnValue,,,,4163dad3-4fb3-4a6b-a9db-f44470e8bbcc
5231,Branch,TechnicianAttendance,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,11ea5cc3-7723-48e1-b2ab-5c90b4170716
5232,techniciancode,TechnicianAttendance,Text,Regular,,False,False,False,True,Default,None,,Data,techniciancode,,,True,,GroupOnValue,,,,7eaa25c2-4e8a-4ed0-b644-f793b19c5d67
5236,Branch,TechnicianPunchedTime,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,98517540-bea4-4fd7-baa2-f63378411a87
5237,techniciancode,TechnicianPunchedTime,Text,Regular,,False,False,False,True,Default,None,,Data,techniciancode,,,True,,GroupOnValue,,,,1bcd7b63-9215-4f3f-8073-215e88b4049c
5238,JobType,TechnicianPunchedTime,Text,Regular,,False,False,False,True,Default,None,,Data,JobType,,,True,,GroupOnValue,,,,fe9cc017-71f5-49c1-a97f-879f74ed4e1f
5239,JobCode,TechnicianPunchedTime,Text,Regular,,False,False,False,True,Default,None,,Data,JobCode,,,True,,GroupOnValue,,,,5320599c-e17d-4835-8f9e-a98b78b1b9af
5935,Branch,TechnicianEfficiency,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,c6e91905-7d95-46ff-be51-177e18ffea35
5936,techniciancode,TechnicianEfficiency,Text,Regular,,False,False,False,True,Default,None,,Data,techniciancode,,,True,,GroupOnValue,,,,e4858a00-6f87-4d75-bd86-94518ec0a34a
