ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
633,AutoDetected_d2d79f6e-6b3d-459c-b4b8-4bd54321d76f,'TechnicianInvoice'[Tech #] *[<-]1 'Technician_Code_Names'[techniciancode],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianInvoice,Tech #,Many,Technician_Code_Names,techniciancode,One,,Single
3763,ed385ed3-f7cf-63c2-4e5f-c6c912491a2a,'TechnicianInvoice'[Date] *[<-]1 'dDate'[Date],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianInvoice,Date,Many,dDate,Date,One,,Single
10818,AutoDetected_abf8eadd-b1a6-45fc-83dc-892a8c2b7e14,'TechnicianInvoice'[Branch] *[<-]1 'Dim_Branch'[BranchID],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianInvoice,Branch,Many,Dim_Branch,BranchID,One,,Single
5861,AutoDetected_99860de9-07a7-4859-bedb-95cb44da1384,'TechnicianAttendance'[TechnicianCode] *[<-]1 'Technician_Code_Names'[techniciancode],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianAttendance,TechnicianCode,Many,Technician_Code_Names,techniciancode,One,,Single
8591,c286d2ec-ed52-ea96-53a0-b5848ccf133e,'TechnicianAttendance'[Date] *[<-]1 'dDate'[Date],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianAttendance,Date,Many,dDate,Date,One,,Single
10819,AutoDetected_90c211b7-4007-4a5c-a662-44d0236423f2,'TechnicianAttendance'[Branch] *[<-]1 'Dim_Branch'[BranchID],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianAttendance,Branch,Many,Dim_Branch,BranchID,One,,Single
5862,AutoDetected_1569d727-0d60-4bbe-9ea3-a15afdb8dee2,'TechnicianPunchedTime'[TechnicianCode] *[<-]1 'Technician_Code_Names'[techniciancode],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianPunchedTime,TechnicianCode,Many,Technician_Code_Names,techniciancode,One,,Single
8608,2538503e-06bc-c598-3563-bed0ef5729b3,'TechnicianPunchedTime'[Date] *[<-]1 'dDate'[Date],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianPunchedTime,Date,Many,dDate,Date,One,,Single
8633,72111cd3-8963-0ad5-2ff0-bf922a14ad29,'TechnicianPunchedTime'[TechnicianCode] *[<->]* 'TechnicianInvoice'[Tech #],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,BothDirections,False,TechnicianPunchedTime,TechnicianCode,Many,TechnicianInvoice,Tech #,Many,,Single
10820,AutoDetected_c263e663-cf16-411f-a901-6bb1370f0e26,'TechnicianPunchedTime'[Branch] *[<-]1 'Dim_Branch'[BranchID],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,False,OneDirection,False,TechnicianPunchedTime,Branch,Many,Dim_Branch,BranchID,One,,Single
6423,AutoDetected_7fbc5a67-e441-4635-8459-5073d1b404df,'TechnicianEfficiency'[techniciancode] *[<->]1 'Technician_Code_Names'[techniciancode],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,BothDirections,False,TechnicianEfficiency,TechnicianCode,Many,Technician_Code_Names,techniciancode,One,,Single
8574,5c75f61e-0725-df4e-c8b0-fc0d85d71b7f,'TechnicianEfficiency'[Date] *[<-]1 'dDate'[Date],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianEfficiency,Date,Many,dDate,Date,One,,Single
10821,AutoDetected_e1c7c9a9-13f3-454f-8f06-b6c4c719092c,'TechnicianEfficiency'[branch] *[<-]1 'Dim_Branch'[BranchID],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,TechnicianEfficiency,Branch,Many,Dim_Branch,BranchID,One,,Single
20085,993f8a8f-4abf-40ca-a808-3c7efe0cb23e,'Data Refresh'[CurrentDateTime] *[<-]1 'LocalDateTable_28b92214-baa3-4f84-9231-91b84cfa87b0'[Date],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,Data Refresh,CurrentDateTime,Many,LocalDateTable_28b92214-baa3-4f84-9231-91b84cfa87b0,Date,One,,Single
20086,542caf32-c315-4981-8952-7b2092846c79,'Data Refresh'[Date] *[<-]1 'LocalDateTable_465f7202-054a-4fb7-bbcc-8b9da85a7038'[Date],4e367c70-d3ff-4a2d-bf2c-f401165bacf1,True,OneDirection,False,Data Refresh,Date,Many,LocalDateTable_465f7202-054a-4fb7-bbcc-8b9da85a7038,Date,One,,Single
