ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
12,Technician_Code_Names,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,69b3c3be-0b2c-4775-9cc9-3d8683ddfe9b
15,TechnicianInvoice,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,9fbddf9a-30c3-429b-a43f-47e483c5557e
3191,dDate,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Time,,False,Import,,CALENDARAUTO(),False,False,,8b1fc517-24fa-4e27-b5bc-0962b5181786
5225,TechnicianAttendance,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,e0b7b6dd-b4f2-470a-a791-a3a583e97ac1
5228,TechnicianPunchedTime,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,081aa16f-4a42-48e8-8d0f-05fc330a6b7d
5932,TechnicianEfficiency,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,8f70840d-3d50-491a-a3e8-d7c16d774669
10610,Dim_Branch,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,c7034195-79a7-4d50-9e72-90ecec19c09b
18449,MeasuresTable,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,"ADDCOLUMNS( GENERATESERIES(1, 1), ""DummyColumn"", 1 )",False,False,,79662b0b-a784-46db-bac2-d48e9770b428
20073,Data Refresh,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,,False,False,,5a6e3575-9cb8-432d-9fa4-157e9234a566
20076,DateTableTemplate_e3cdadb3-d129-4bdc-8c49-33dda75815ff,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,True,Import,,"Calendar(Date(2015,1,1), Date(2015,1,1))",False,True,,9b18defc-c6b7-464d-b830-32f8ad4189a0
20079,LocalDateTable_28b92214-baa3-4f84-9231-91b84cfa87b0,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,True,Import,,"Calendar(Date(Year(MIN('Data Refresh'[CurrentDateTime])), 1, 1), Date(Year(MAX('Data Refresh'[CurrentDateTime])), 12, 31))",True,False,,28750503-1333-4d45-9b36-1641a588b9c8
20082,LocalDateTable_465f7202-054a-4fb7-bbcc-8b9da85a7038,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,True,Import,,"Calendar(Date(Year(MIN('Data Refresh'[Date])), 1, 1), Date(Year(MAX('Data Refresh'[Date])), 12, 31))",True,False,,c1cc04a2-aa58-45ff-a2d9-d51d1a73940a
27365,Old Report Tables,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,INFO.VIEW.TABLES(),False,False,,ab1c0667-f5eb-4b16-8ece-3ae37103a32e
27800,Old Report Measures,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,INFO.VIEW.MEASURES(),False,False,,949d857d-b202-41ed-8b3b-ef1262675d24
28838,Old Report Columns,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,INFO.VIEW.COLUMNS(),False,False,,3e85698e-1b6d-461f-a571-57814fbd96aa
30792,Old Report Relationships,4e367c70-d3ff-4a2d-bf2c-f401165bacf1,Regular,,False,Import,,INFO.VIEW.RELATIONSHIPS(),False,False,,da32a1a7-eb7a-4a71-9003-8bfe317a864e
