PartWeightFrom,PartWeightTo,BaseRate,AdditiveRatePerPound
0,1,25,1.51
2,5,30,1.50
6,10,35,1.49
11,15,40,1.48
16,20,45,1.47
21,25,55,1.46
26,30,60,1.45
31,35,65,1.44
36,40,75,1.43
41,45,80,1.42
46,50,90,1.41
51,55,120,1.40
56,60,120,1.39
61,65,120,1.38
66,70,120,1.37
71,75,120,1.36
76,80,120,1.35
81,85,120,1.34
86,90,120,1.33
91,95,120,1.32
96,100,120,1.31
101,105,120,1.30
106,110,120,1.29
111,115,120,1.28
116,120,120,1.27
121,125,120,1.26
126,130,120,1.25
131,135,120,1.24
136,140,120,1.23
141,145,120,1.22
146,150,120,1.21
151,499,0,1.10
500,999,0,0.45
1000,1999,0,0.32
2000,4999,0,0.25
5000,999999,0,0.15
