PART WEIGHT FROM,PART WEIGHT TO, BASE RATE , ADDITIVE RATE PER POUND 
0,1, $25.00 , $1.51 
2,5, $30.00 , $1.50 
6,10, $35.00 , $1.49 
11,15, $40.00 , $1.48 
16,20, $45.00 , $1.47 
21,25, $55.00 , $1.46 
26,30, $60.00 , $1.45 
31,35, $65.00 , $1.44 
36,40, $75.00 , $1.43 
41,45, $80.00 , $1.42 
46,50, $90.00 , $1.41 
51,55, $120.00 , $1.40 
56,60, $120.00 , $1.39 
61,65, $120.00 , $1.38 
66,70, $120.00 , $1.37 
71,75, $120.00 , $1.36 
76,80, $120.00 , $1.35 
81,85, $120.00 , $1.34 
86,90, $120.00 , $1.33 
91,95, $120.00 , $1.32 
96,100, $120.00 , $1.31 
101,105, $120.00 , $1.30 
106,110, $120.00 , $1.29 
111,115, $120.00 , $1.28 
116,120, $120.00 , $1.27 
121,125, $120.00 , $1.26 
126,130, $120.00 , $1.25 
131,135, $120.00 , $1.24 
136,140, $120.00 , $1.23 
141,145, $120.00 , $1.22 
146,150, $120.00 , $1.21 
151,199, $120.00 , $1.20 
200,249, $120.00 , $1.00 
