ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
20,Location,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Location,,,True,,GroupOnValue,,,,9a7cc829-cb13-492c-ae3c-ee4c5814a2d2
21,Location_Name,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Location_Name,,,True,,GroupOnValue,,,,204a46a1-8c1b-4d03-8b42-318325673b5a
23,Invoice_Type,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Invoice_Type,,,True,,GroupOnValue,,,,0243db9e-1c45-49ec-a0b5-40f03d16f56d
32,Salesman,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Salesman,,,True,,GroupOnValue,,,,6353da27-9c1f-4767-bec4-d9dee4b96a66
33,Contact_Code,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Contact_Code,,,True,,GroupOnValue,,,,1cd600fe-fd29-4aad-acf7-374e3e34c1db
35,Customer,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Customer,,,True,,GroupOnValue,,,,c64f2df9-a00e-40e2-b9cc-01adb9f56d84
163996,Aging_Date_Source,Parts_Open_Tickets,Text,Regular,,False,False,False,True,Default,None,,Data,Aging_Date_Source,,,True,,GroupOnValue,,,,0e514712-1b12-473b-b3f3-1d17d80cb5d4
37,LocationID,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,806a455e-057f-49f8-af05-df0e05aa47d5
38,City,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,3691a7a8-1712-4ff9-859b-ac3538265f8d
39,State,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,6242154d-d520-42e9-b6eb-63613bee776a
40,Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,1c0a91e1-dc57-4009-8aed-9ec00563b939
41,Sub-Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Sub-Branch,,,True,,GroupOnValue,,,,86438d71-5ac1-4067-8dc3-fa49bc06ccfd
1703,Location,Parts_Open_Tickets_Details,Text,Regular,,False,False,False,True,Default,None,,Data,Location,,,True,,GroupOnValue,,,,52c552f7-ea54-4c94-96a5-29dde5be9226
1709,Part_No,Parts_Open_Tickets_Details,Text,Regular,,False,False,False,True,Default,None,,Data,Part_No,,,True,,GroupOnValue,,,,5947b153-5fc8-460f-b6eb-c06774f74ac6
166139,Location_Name,Parts_Open_Tickets_Details,Text,Regular,,False,False,False,True,Default,None,,Data,Location_Name,,,True,,GroupOnValue,,,,10f5b15c-faf8-4ad1-b092-08e74335f8c2
166141,Invoice_Type,Parts_Open_Tickets_Details,Text,Regular,,False,False,False,True,Default,None,,Data,Invoice_Type,,,True,,GroupOnValue,,,,67b6f9d1-ab75-4931-acce-428f01b49b16
166142,Aging,Parts_Open_Tickets_Details,Text,Regular,,False,False,False,True,Default,None,,Data,Aging,,,True,,GroupOnValue,,,,3519d76d-99ad-448d-9710-dd0c8de48d99
166143,Aging_Date_Source,Parts_Open_Tickets_Details,Text,Regular,,False,False,False,True,Default,None,,Data,Aging_Date_Source,,,True,,GroupOnValue,,,,888ab10f-508c-4107-885a-b03e117d1b72
