ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
1255,# Parts On Order,MeasuresTable,Calculates the total number of parts currently on order by summing the '#_Parts_On_Order' column in the 'Parts_Open_Tickets' table.,,"
SUM ( Parts_Open_Tickets[#_Parts_On_Order] )",,False,Valid,,False,,,,"""0""",7c60f383-2995-4011-97a4-34dd25fb3c3d
1258,Order Total,MeasuresTable,Calculates the sum of the 'Order_Total_$$' column from the 'Parts_Open_Tickets' table.,,"
SUM ( Parts_Open_Tickets[Order_Total_$$] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",b6644e54-2073-4ea7-bf57-fd4ebe724078
1263,$$ not BO,MeasuresTable,Sums the values in the Parts_Open_Tickets[$$_not_BO] column.,,"
SUM ( Parts_Open_Tickets[$$_Available] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",c98d145b-b9a3-4ea7-857d-011dd526e33a
1268,Deposit,MeasuresTable,Calculates the total sum of deposits from the Parts_Open_Tickets table.,,"
SUM ( Parts_Open_Tickets[Deposit] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",95667655-0dae-4432-9715-3b6be677fbf4
2056,# on Back Order,MeasuresTable,Calculates the total number of items on back order by summing the values in the #_On_Back_Order column of the Parts_Open_Tickets table.,,"
SUM ( Parts_Open_Tickets[#_On_Back_Order] )",,False,Valid,,False,,,,"""0""",e4d34ff0-a51f-4800-a1fb-b00d92841672
2059,Show Filter 1,MeasuresTable,"Displays a concatenated string of the top filtered values for various columns in the Parts_Open_Tickets and Dim_Branch tables, with a maximum of 3 filters shown per column.",,"
VAR MaxFilters = 3
RETURN
    IF (
        ISFILTERED ( Parts_Open_Tickets[Aging] ),
        VAR ___f =
            FILTERS ( Parts_Open_Tickets[Aging] )
        VAR ___r =
            COUNTROWS ( ___f )
        VAR ___t =
            TOPN ( MaxFilters, ___f, Parts_Open_Tickets[Aging] )
        VAR ___d =
            CONCATENATEX ( ___t, Parts_Open_Tickets[Aging], "", "" )
        VAR ___x =
            ""Aging:  "" & ___d
                & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
        RETURN
            ___x & UNICHAR ( 13 )
                & UNICHAR ( 10 )
    )
        & IF (
            ISFILTERED ( Dim_Branch[Branch] ),
            VAR ___f =
                FILTERS ( Dim_Branch[Branch] )
            VAR ___r =
                COUNTROWS ( ___f )
            VAR ___t =
                TOPN ( MaxFilters, ___f, Dim_Branch[Branch] )
            VAR ___d =
                CONCATENATEX ( ___t, Dim_Branch[Branch], "", "" )
            VAR ___x =
                ""Branch:  "" & ___d
                    & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
            RETURN
                ___x & UNICHAR ( 13 )
                    & UNICHAR ( 10 )
        )
        & IF (
            ISFILTERED ( Parts_Open_Tickets[Invoice_Type] ),
            VAR ___f =
                FILTERS ( Parts_Open_Tickets[Invoice_Type] )
            VAR ___r =
                COUNTROWS ( ___f )
            VAR ___t =
                TOPN ( MaxFilters, ___f, Parts_Open_Tickets[Invoice_Type] )
            VAR ___d =
                CONCATENATEX ( ___t, Parts_Open_Tickets[Invoice_Type], "", "" )
            VAR ___x =
                ""Type:  "" & ___d
                    & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
            RETURN
                ___x & UNICHAR ( 13 )
                    & UNICHAR ( 10 )
        )
        & IF (
            ISFILTERED ( Parts_Open_Tickets[Order_Date] ),
            VAR ___f =
                FILTERS ( Parts_Open_Tickets[Order_Date] )
            VAR ___r =
                COUNTROWS ( ___f )
            VAR ___t =
                TOPN ( MaxFilters, ___f, Parts_Open_Tickets[Order_Date] )
            VAR ___d =
                CONCATENATEX ( ___t, Parts_Open_Tickets[Order_Date], "", "" )
            VAR ___x =
                ""Date:  "" & ___d
                    & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
            RETURN
                ___x & UNICHAR ( 13 )
                    & UNICHAR ( 10 )
        )
        & IF (
            ISFILTERED ( Parts_Open_Tickets[Customer] ),
            VAR ___f =
                FILTERS ( Parts_Open_Tickets[Customer] )
            VAR ___r =
                COUNTROWS ( ___f )
            VAR ___t =
                TOPN ( MaxFilters, ___f, Parts_Open_Tickets[Customer] )
            VAR ___d =
                CONCATENATEX ( ___t, Parts_Open_Tickets[Customer], "", "" )
            VAR ___x =
                ""Customer:  "" & ___d
                    & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
            RETURN
                ___x & UNICHAR ( 13 )
                    & UNICHAR ( 10 )
        )
        & IF (
            ISFILTERED ( Parts_Open_Tickets[Contact_Code] ),
            VAR ___f =
                FILTERS ( Parts_Open_Tickets[Contact_Code] )
            VAR ___r =
                COUNTROWS ( ___f )
            VAR ___t =
                TOPN ( MaxFilters, ___f, Parts_Open_Tickets[Contact_Code] )
            VAR ___d =
                CONCATENATEX ( ___t, Parts_Open_Tickets[Contact_Code], "", "" )
            VAR ___x =
                ""Contact Code:  "" & ___d
                    & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
            RETURN
                ___x & UNICHAR ( 13 )
                    & UNICHAR ( 10 )
        )
---- MODEL MEASURES END ----",,False,Valid,,False,,,,,9f13d257-918e-4dc1-bc76-48862edae745
2170,Show Aging,MeasuresTable,"Displays a concatenated string of the top aging values from the Parts_Open_Tickets table, limited to a maximum of 3 filters.",,"
VAR MaxFilters = 3
RETURN
    IF (
        ISFILTERED ( Parts_Open_Tickets[Aging] ),
        VAR ___f =
            FILTERS ( Parts_Open_Tickets[Aging] )
        VAR ___r =
            COUNTROWS ( ___f )
        VAR ___t =
            TOPN ( MaxFilters, ___f, Parts_Open_Tickets[Aging] )
        VAR ___d =
            CONCATENATEX ( ___t, Parts_Open_Tickets[Aging], "", "" )
        VAR ___x =
            ""Aging:  "" & ___d
                & IF ( ___r > MaxFilters, "", ... ["" & ___r & "" items selected]"" ) & "" ""
        RETURN
            ___x & UNICHAR ( 13 )
                & UNICHAR ( 10 )
    )",,False,Valid,,False,,,,,2b2c7de5-341e-4d15-977e-c0c220677baa
2173,HighestValueCount,MeasuresTable,Calculates the maximum order count across all branches.,,"
MAXX ( VALUES ( Dim_Branch[Branch] ), [Order Count] )",,False,Valid,,False,,,,"""0""",f4285572-950a-4eec-bcd6-4ba11e22327e
2229,LowestValueCount,MeasuresTable,Calculates the minimum order count across all branches.,,"
MINX ( VALUES ( Dim_Branch[Branch] ), [Order Count] )",,False,Valid,,False,,,,"""0""",d3c41382-a40f-4da7-9482-23d6bfedd900
2231,Bar Color Order Count,MeasuresTable,"Determines if the order count for the selected location is either the maximum or minimum order count across all locations, returning 1 if true and 0 otherwise.",,"
VAR ThisLocation =
    SELECTEDVALUE ( Dim_Branch[LocationID] )
VAR ThisOrderCount = [Order Count]
VAR MaxOrderCount =
    CALCULATE (
        MAXX ( VALUES ( Dim_Branch[LocationID] ), [Order Count] ),
        REMOVEFILTERS ( Dim_Branch )
    )
VAR MinOrderCount =
    CALCULATE (
        MINX ( VALUES ( Dim_Branch[LocationID] ), [Order Count] ),
        REMOVEFILTERS ( Dim_Branch )
    )
RETURN
    IF (
        ThisOrderCount = MaxOrderCount
            || ThisOrderCount = MinOrderCount,
        1,
        // Highlight
        0 // Grey
    )",,False,Valid,,False,,,,"""0""",15814614-711b-4b0e-8140-e3ef10119673
