ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
411,Branch,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,709674ff-914c-41e4-bc69-2329258ea3da
412,BranchType,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchType,,,True,,GroupOnValue,,,,efd090fa-daed-45b9-bf06-a7dbab898678
414,BranchName,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchName,,,True,,GroupOnValue,,,,706cd14b-9ede-4c95-b1b7-a6ca9e3619e1
415,LocationID,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,750ae8d0-abf9-4b1c-94ca-94b3f42cee3a
416,State,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,eff7c930-596e-459c-98d0-b3ca58f340ea
417,City,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,604b8d47-93cc-480a-9e64-651f6dd5ece0
79524,ServiceCapacity,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,ServiceCapacity,,,True,,GroupOnValue,,,,f5e86c29-8e1f-4879-a418-8ff404a24b06
79525,MarketPresence,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,MarketPresence,,,True,,GroupOnValue,,,,764a0865-0e9e-49b7-bf65-545d71894022
79526,TerritoryCoverage,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,TerritoryCoverage,,,True,,GroupOnValue,,,,d4eb4853-5faf-4861-a87f-93db1243602f
79528,RegionalClassification,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,RegionalClassification,,,True,,GroupOnValue,,,,124e7d8e-0167-4617-ba6f-ddecdbc67359
79529,ServiceHours,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,ServiceHours,,,True,,GroupOnValue,,,,ec774fb3-8de6-4d85-95bd-623313a9bcd5
79530,DistanceFromHub,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,DistanceFromHub,,,True,,GroupOnValue,,,,a0c293e7-0ad0-4a1b-977f-c611c4c5e47a
426,MonthName,dim_DateTable,Text,Regular,,False,False,False,True,Default,None,,Data,MonthName,,,True,,GroupOnValue,,,,7d67b960-45db-44bc-89e6-b6036051b544
428,DayOfWeekName,dim_DateTable,Text,Regular,,False,False,False,True,Default,None,,Data,DayOfWeekName,,,True,,GroupOnValue,,,,5be643dd-18b5-454c-93e3-0cd360cb5a2b
429,DayOfWeekNameShort,dim_DateTable,Text,Regular,,False,False,False,True,Default,None,,Data,DayOfWeekNameShort,,,True,,GroupOnValue,,,,ca3029c4-7c89-499c-8d95-26b0f1d012da
431,QuarterYear,dim_DateTable,Text,Regular,,False,False,False,True,Default,None,,Data,QuarterYear,,,True,,GroupOnValue,,,,265dcc1c-dfca-497c-80da-7afbc20e3f63
432,DateDisplayName,dim_DateTable,Text,Regular,,False,False,False,True,Default,None,,Data,DateDisplayName,,,True,,GroupOnValue,,,,12b5542c-b850-4dd5-bed8-9a2c4d6cd561
79532,SortableMonthYear,dim_DateTable,Text,Regular,,False,False,False,True,Default,None,,Data,SortableMonthYear,,,True,,GroupOnValue,,,,dc4331a2-76c8-4630-b7c8-bacadf8fac11
