ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
197,Data Refresh,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,True,Import,,,False,False,,5d7b604e-97b7-4d33-ae36-90dbf7bda192
318,dim_BranchLocation,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,False,Import,,,False,False,,19d7293a-9939-4cf7-8d9c-47787074785e
321,dim_DateTable,708c56a8-2f65-44a4-9ffb-6797fd112a47,Time,,False,Import,,,False,False,,37b958bf-49c8-4ebf-a200-391a3fc9f50d
5203,New Report Tables,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,True,Import,,INFO.VIEW.TABLES(),False,False,,253007d5-14bb-45c5-9e91-5954959628f1
5638,New Report Relationships,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,True,Import,,INFO.VIEW.RELATIONSHIPS(),False,False,,70c962e3-81db-4b89-bc7c-0098b2b26a5e
6636,New Report Columns,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,True,Import,,INFO.VIEW.COLUMNS(),False,False,,c2e159ea-a0d9-4388-a3d6-158b646b68dd
137859,_Measures,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,False,Import,,"{ ""This table holds all measures for the Parts Reorder Monitoring report"" }",False,False,,22e4b9e3-99b6-4634-9836-9ade5a5ea5a5
148512,Fact_OpenWorkOrders,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,False,Import,,,False,False,,96161d79-f90e-470d-895b-b70b65a122f5
152623,New Report Measures,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,True,Import,,INFO.VIEW.MEASURES(),False,False,,6a79f2ed-5d27-4bbe-8cb4-d81498235aef
154640,dim_Technician_Code_Names,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,False,Import,,,False,False,,64500424-385d-493e-9648-2952aad3ce75
157652,dim_CustomerList,708c56a8-2f65-44a4-9ffb-6797fd112a47,Regular,,False,Import,,,False,False,,4f360a2e-ab8d-4c81-abda-07aeb9553d4f
