ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
27,StatusDisplay,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,StatusDisplay,,,True,,GroupOnValue,,,,e6153652-21ac-45bb-a0a6-9400125d38d4
28,Branch,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,5cfdb8c4-1474-4ecb-9fce-53600fec2d59
30,JobCode,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,JobCode,,,True,,GroupOnValue,,,,12467e17-4691-4a00-905b-b553f62d9221
31,JobType,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,JobType,,,True,,GroupOnValue,,,,94545d81-983e-4883-93d9-9b43d84bcd3a
32,InvoiceNumber,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,InvoiceNumber,,,True,,GroupOnValue,,,,6030667b-95ba-4347-90d1-0fca3a3fbfba
33,ROProgressStatus,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,ROProgressStatus,,,True,,GroupOnValue,,,,411f44c3-2f2a-4793-ad58-728b77b79dad
44,QuotationIndicator,RepairOrderDetail,Text,Regular,,False,False,False,True,Default,None,,Data,QuotationIndicator,,,True,,GroupOnValue,,,,6796c076-ebab-4285-be32-50da7bc827b1
46,Branch,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,9b730320-bbd3-4f33-8456-042556586afa
48,TechnicianCode,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,TechnicianCode,,,True,,GroupOnValue,,,,2fe74e2b-d369-473e-81cf-5860e4449b94
49,Model,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,Model,,,True,,GroupOnValue,,,,694494fd-271f-4870-8825-71bb0efba114
50,CustomerName,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,CustomerName,,,True,,GroupOnValue,,,,189f80a2-d597-4238-be5a-be78472f6cda
59,JobCode,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,JobCode,,,True,,GroupOnValue,,,,4e583848-9f5f-40b1-996a-f4ef5c0b1869
60,JobType,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,JobType,,,True,,GroupOnValue,,,,628c1598-b84f-4150-a936-214e3e2014c4
61,ROBranch,TechnicianPunchedDetail,Text,Regular,,False,False,False,True,Default,None,,Data,ROBranch,,,True,,GroupOnValue,,,,f15bf40a-0fc1-4adc-b53a-6527356d6014
63,Branch,TechnicianInvoiceDetail,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,b73162cd-bdc5-4cf3-a259-32bf7ae4e1df
66,TechnicianCode,TechnicianInvoiceDetail,Text,Regular,,False,False,False,True,Default,None,,Data,TechnicianCode,,,True,,GroupOnValue,,,,7faf5598-4e49-4be3-ae2d-0362bed016ee
73,JobCode,TechnicianInvoiceDetail,Text,Regular,,False,False,False,True,Default,None,,Data,JobCode,,,True,,GroupOnValue,,,,15ddd044-bbaa-4771-8dab-d666512d2d20
74,JobType,TechnicianInvoiceDetail,Text,Regular,,False,False,False,True,Default,None,,Data,JobType,,,True,,GroupOnValue,,,,10c5bc1f-5978-440e-9cd4-e8585bcbfc5c
76,firstname,Technician_Code_Names,Text,Regular,,False,False,False,True,Default,None,,Data,firstname,,,True,,GroupOnValue,,,,43bdf71b-6674-48c3-91ed-3773aaefb5fe
77,lastname,Technician_Code_Names,Text,Regular,,False,False,False,True,Default,None,,Data,lastname,,,True,,GroupOnValue,,,,466334e7-51d6-4417-a00d-cd8ef25d671f
27732,Name,Technician_Code_Names,Text,Regular,,False,False,False,True,Default,None,,Data,Name,,,True,,GroupOnValue,,,,aa518ddb-0861-4620-b0de-8a43ac69799d
1713,LocationID,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,29ddb995-76a9-41f6-9302-e69f5ad879af
1714,City,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,ca2efa88-2c2d-423a-af5d-f7a8af36236a
1715,State,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,f51cf07d-8ad9-4999-a4d3-9e546a4f969c
1716,Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,76e5f965-ca11-4d75-a900-2c74d3c26e14
1717,Sub-Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Sub-Branch,,,True,,GroupOnValue,,,,11a994ba-8fd8-4f65-bbba-91792a8df0ad
2224,DateInt,DimDate,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DateInt,,,True,,GroupOnValue,,,,432ca44f-7dcd-4e8b-a428-81af305571e4
