ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
34737,YTD Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        DATESYTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",2e8f97b8-715b-408d-8854-3600983416a0
34738,QTD Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        DATESQTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",5cecd2b9-0b41-465f-bf06-b5a8b434a9c1
34739,MTD Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        DATESMTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",8331f3e8-73f3-4fc4-af46-1482805a2c56
34740,PY Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e89732a5-6d5e-44f9-b654-724762fe7e8c
34743,PQ Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e35e797a-69bd-4b96-8a71-97a1ecd5ef7b
34746,PM Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",f4d37f6e-8128-45cb-a7ba-24999fd222d1
34749,PYTD Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [YTD Labor Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",f7b26990-fd47-475f-95be-a433f050fd77
34752,PQTD Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [QTD Labor Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",8515a435-324b-4ff7-9d7d-61d058260031
34755,PMTD Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [MTD Labor Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",fe3fb453-f96b-45cf-ba36-2e49bb507790
34758,PYC Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, YEAR )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth over full period\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",a8c3644f-ee95-422d-8b48-4c5877babca7
34761,PQC Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, QUARTER )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth over full period\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",306945ab-278b-44a3-98c3-b62ede78ca4e
34764,PMC Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, MONTH )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth over full period\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",3f914373-d10a-40c6-a2cf-7b04983f1ae4
34767,MAT Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Labor Sales],
        DATESINPERIOD (
            'Date'[Date],
            MAX ( 'Date'[Date] ),
            -1,
            YEAR
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Moving annual growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",bb2fa05e-5998-43da-875e-ada534564e1d
34768,PYMAT Labor Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [MAT Labor Sales],
        DATEADD ( 'Date'[Date], -1, YEAR )
    )
)",,False,InvalidExpression,,False,Time intelligence\Moving annual growth\Labor Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",4666962e-68f6-4236-9943-42126deaeb3e
34771,YTD Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        DATESYTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",803f031e-f92e-4e9c-9ddf-802f51ec7c68
34772,QTD Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        DATESQTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",0386cc88-c2c2-4bcf-aa95-6c7919511fca
34773,MTD Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        DATESMTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",58e4b339-980f-459f-8540-620dba96d116
34774,PY Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",96460876-c274-4de0-b5c6-2ab9535a5799
34777,PQ Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",89937061-5b52-425f-9909-394386be0092
34780,PM Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",8b904ff6-be31-4869-998a-c3cc053a3d1e
34783,PYTD Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [YTD Part Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",0c1c2728-e6bb-42d4-996a-e5fc80a429dd
34786,PQTD Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [QTD Part Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",22142c09-fa38-4155-8b43-d14b2ece7b35
34789,PMTD Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [MTD Part Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, MONTH ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",ef94c96b-c418-455f-aa8f-88a31f8ba549
34792,PYC Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, YEAR )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth over full period\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",477ec093-ff17-4d92-b41f-58500461a8ef
34795,PQC Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, QUARTER )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth over full period\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",1daa7d48-dd49-4f33-a54c-a355723644db
34798,PMC Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        PARALLELPERIOD ( 'Date'[Date], -1, MONTH )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth over full period\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",5178065a-9945-4bf8-83c5-ec6050f4f914
34801,MAT Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Part Sales],
        DATESINPERIOD (
            'Date'[Date],
            MAX ( 'Date'[Date] ),
            -1,
            YEAR
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Moving annual growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",aa9a8db7-9ad0-4c81-87be-5eedcf1ec4e4
34802,PYMAT Part Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [MAT Part Sales],
        DATEADD ( 'Date'[Date], -1, YEAR )
    )
)",,False,InvalidExpression,,False,Time intelligence\Moving annual growth\Part Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",ce56a48b-0a54-4df6-b674-a1631307e1bf
34805,YTD Total Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Total Sales],
        DATESYTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Total Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",246d95a1-d276-418b-a546-7d952c2a959c
34806,QTD Total Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Total Sales],
        DATESQTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Total Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",5540b68d-a0dd-4673-abc1-a6dd09e5d394
34807,MTD Total Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Total Sales],
        DATESMTD ( 'Date'[Date] )
    )
)",,False,InvalidExpression,,False,Time intelligence\To-date total\Total Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",873c009a-e073-4d2f-ad16-1c543ed49aef
34808,PY Total Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Total Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, YEAR ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Total Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",0a9b081f-6dcf-4eaa-8db5-3ec202b44c47
34811,PQ Total Sales,MeasuresTable,,,"
IF (
    [_ShowValueForDates],
    CALCULATE (
        [Total Sales],
        CALCULATETABLE (
            DATEADD ( 'Date'[Date], -1, QUARTER ),
            'Date'[DateWithTransactions] = TRUE
        )
    )
)",,False,InvalidExpression,,False,Time intelligence\Growth\Total Sales,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",01f8afe1-3c07-434a-8488-aaae3b276677
