ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
1918,AutoDetected_bbe572c4-8b74-4443-90b0-00befdaebed2,'RepairOrderDetail'[Branch] *[<-]1 'Dim_Branch'[BranchID],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,RepairOrderDetail,Branch,Many,Dim_Branch,BranchID,One,,Single
3104,36a30a92-4507-a564-ba21-f02c9c8d9a37,'RepairOrderDetail'[CreationDate] *[<-]1 'DimDate'[Date],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,RepairOrderDetail,CreationDate,Many,DimDate,Date,One,,Single
11923,82d43163-d6a2-3460-611f-6db8be44d302,'RepairOrderDetail'[RONumber] *[<-]* 'AgingReport'[Repair_Order],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,RepairOrderDetail,RONumber,Many,AgingReport,Repair_Order,Many,,Single
115592,f3100fbe-292d-701b-05f4-5beedd87e81c,'RepairOrderDetail'[RONumber] *[<-]1 'WKROFILE'[RO_NUMBER],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,RepairOrderDetail,RONumber,Many,WKROFILE,RO_NUMBER,One,,Single
1675,AutoDetected_81607868-7986-4264-bf88-a0b27f20c507,'TechnicianPunchedDetail'[TechnicianCode] *[<-]1 'Technician_Code_Names'[techniciancode],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,TechnicianPunchedDetail,TechnicianCode,Many,Technician_Code_Names,techniciancode,One,,Single
1919,AutoDetected_9a319458-dbe2-4de9-b355-44f6cbf22f7c,'TechnicianPunchedDetail'[Branch] *[<-]1 'Dim_Branch'[BranchID],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,TechnicianPunchedDetail,Branch,Many,Dim_Branch,BranchID,One,,Single
28666,be54faeb-d841-0380-cdd8-fbdb06128bb4,'TechnicianPunchedDetail'[RepairOrderNumber] *[<->]* 'RepairOrderDetail'[RONumber],d8323ada-2475-4b13-8386-6b62bf375fb7,False,BothDirections,False,TechnicianPunchedDetail,RepairOrderNumber,Many,RepairOrderDetail,RONumber,Many,,Single
56277,91939c14-6c92-fe19-6da1-7d45cecda1ed,'TechnicianPunchedDetail'[CustomerName] *[<->]* 'ArMaster_Customer'[FullName],d8323ada-2475-4b13-8386-6b62bf375fb7,True,BothDirections,False,TechnicianPunchedDetail,CustomerName,Many,ArMaster_Customer,FullName,Many,,Single
74562,23a9d203-e5c0-3598-c73e-28fbf2543933,'TechnicianPunchedDetail'[RepairOrderNumber] *[<->]* 'RepairOrderDetail'[LaborSale],d8323ada-2475-4b13-8386-6b62bf375fb7,False,BothDirections,False,TechnicianPunchedDetail,RepairOrderNumber,Many,RepairOrderDetail,LaborSale,Many,,Single
1676,AutoDetected_3780e622-8d82-4fdd-8d4f-0aa948e87c30,'TechnicianInvoiceDetail'[TechnicianCode] *[<-]1 'Technician_Code_Names'[techniciancode],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,TechnicianInvoiceDetail,TechnicianCode,Many,Technician_Code_Names,techniciancode,One,,Single
1920,AutoDetected_20631cab-6e89-4a49-843c-d33113402c81,'TechnicianInvoiceDetail'[Branch] *[<-]1 'Dim_Branch'[BranchID],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,TechnicianInvoiceDetail,Branch,Many,Dim_Branch,BranchID,One,,Single
7914,AutoDetected_a8a18d3a-61ef-4b0f-99f0-08a13ea58eb5,'AgingReport'[Branch] *[<-]1 'Dim_Branch'[BranchID],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,AgingReport,Branch,Many,Dim_Branch,BranchID,One,,Single
10480,ec934210-b4d1-d218-2a04-bbfc6dc77e96,'AgingReport'[Repair_Order] *[<-]* 'TechnicianPunchedDetail'[RepairOrderNumber],d8323ada-2475-4b13-8386-6b62bf375fb7,True,OneDirection,False,AgingReport,Repair_Order,Many,TechnicianPunchedDetail,RepairOrderNumber,Many,,Single
