Franchise,IsIncluded,ExclusionReason
D,FALSE,John Deere — handled by JD PRISM system
ZP,FALSE,Warehouse code — not an orderable part
S,FALSE,Inactive franchise (per Physical Inventory report convention)
TD,FALSE,Test/inactive franchise (T* pattern)
TM,FALSE,Test/inactive franchise (T* pattern)
UD,FALSE,Test/inactive franchise (U* pattern)
UM,FALSE,Test/inactive franchise (U* pattern)
95,FALSE,Data entry error — single part with invalid franchise code
AM,TRUE,
BB,TRUE,
BS,TRUE,
BW,TRUE,
C,TRUE,
DA,TRUE,
GR,TRUE,
HT,TRUE,
HW,TRUE,
KB,TRUE,
KM,TRUE,
KR,TRUE,
L,TRUE,
M,TRUE,
MC,TRUE,
ME,TRUE,
MG,TRUE,
MH,TRUE,
ML,TRUE,
MM,TRUE,
MN,TRUE,
MO,TRUE,
MR,TRUE,
MS,TRUE,
MW,TRUE,
P,TRUE,
RC,TRUE,
RM,TRUE,
SB,TRUE,
SC,TRUE,
SS,TRUE,
W,TRUE,
