ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
197,Data Refresh,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,True,Import,,,False,False,,5d7b604e-97b7-4d33-ae36-90dbf7bda192
318,dim_BranchLocation,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,,False,False,,19d7293a-9939-4cf7-8d9c-47787074785e
321,dim_DateTable,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,,False,False,,37b958bf-49c8-4ebf-a200-391a3fc9f50d
5203,New Report Tables,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,True,Import,,INFO.VIEW.TABLES(),False,False,,253007d5-14bb-45c5-9e91-5954959628f1
5638,New Report Relationships,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,True,Import,,INFO.VIEW.RELATIONSHIPS(),False,False,,70c962e3-81db-4b89-bc7c-0098b2b26a5e
6636,New Report Columns,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,True,Import,,INFO.VIEW.COLUMNS(),False,False,,c2e159ea-a0d9-4388-a3d6-158b646b68dd
137859,_Measures,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,"{ ""This table holds all measures for the Parts Reorder Monitoring report"" }",False,False,,22e4b9e3-99b6-4634-9836-9ade5a5ea5a5
148512,dim_CustomerList,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,,False,False,,215dce55-3962-4495-9860-b7c585f5874a
148515,dim_Parts,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,,False,False,,f5ddff01-9dba-428c-87f7-cbeb27d61b1a
148518,Fact_InTrans,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,,False,False,,a2af5df5-4297-4fe4-a962-da78e1a74528
148521,dim_Parts_LowMargin,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,False,Import,,,False,False,,b101447f-78df-4f20-82ca-ed797cf7f5dd
156152,New Report Measures,80ba3525-6c53-4589-b9db-7c6399f7a686,Regular,,True,Import,,INFO.VIEW.MEASURES(),False,False,,86431eb0-e56b-469c-80e7-05ff99dce93f
