ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
83,contact_code,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,contact_code,,,True,,GroupOnValue,,,,60d85773-e3de-477a-a818-08f202251d14
84,ACC_TYPE,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,ACC_TYPE,,,True,,GroupOnValue,,,,d0e133d8-fa0c-4d1b-b93b-9b14550f6361
85,TRADE_TYPE,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,TRADE_TYPE,,,True,,GroupOnValue,,,,a5d964ad-1764-47e2-ae2d-3ffae46e7118
86,TERRITORY,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,TERRITORY,,,True,,GroupOnValue,,,,ced0890b-8608-4369-8094-9dd348bea7e5
88,surname,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,surname,,,True,,GroupOnValue,,,,c0855cb7-c2bd-4deb-8124-671110a1c380
89,name,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,name,,,True,,GroupOnValue,,,,6dcb1c57-cf0a-4a9b-ac90-d75d29186925
90,company_name,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,company_name,,,True,,GroupOnValue,,,,0073aebe-27e6-46e9-a97e-c5d334623ea2
91,Trade Type,ArMaster_Customer_Low,Text,Regular,,False,False,False,True,Default,None,,Data,Trade Type,,,True,,GroupOnValue,,,,cacccceb-a5ea-4e15-a550-40c1d42ebd80
92,Branch,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,6c029f74-7608-4918-8b81-aa5408e54e92
93,Franchise,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,Franchise,,,True,,GroupOnValue,,,,788f4249-7006-4410-93db-76822d809c0b
94,Part No,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,Part No,,,True,,GroupOnValue,,,,0c7e6d43-2b6c-4670-a1a0-dabd0cc64387
96,Customer No,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,Customer No,,,True,,GroupOnValue,,,,b5d0fd14-342f-4bb6-8611-194e8cc116f1
97,TYPE,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,TYPE,,,True,,GroupOnValue,,,,18cd0a10-6968-459d-988e-4361eab25090
98,Invoice/WO,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,Invoice/WO,,,True,,GroupOnValue,,,,fb02a03f-9f2b-48dc-a47d-4f77f3a0731d
102,TRADE_TYPE,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,TRADE_TYPE,,,True,,GroupOnValue,,,,c3ed8474-d637-4b82-9e78-062d03ccbb53
103,DESCRIPTION,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,DESCRIPTION,,,True,,GroupOnValue,,,,c60d0f23-4374-4083-abc3-b49c616fd11e
105,Salesman,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,Salesman,,,True,,GroupOnValue,,,,42be8ce2-1ddb-498d-80af-bbcd4609e588
106,REF_NO2,InTrans_Low_Margin,Text,Regular,,False,False,False,True,Default,None,,Data,REF_NO2,,,True,,GroupOnValue,,,,e50d1891-3128-48ba-8a88-0e4773a0ed26
115,LocationID,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,57098ca6-7d5f-49cf-ae2d-87458b4b3159
116,City,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,05a2577d-6906-4270-aa67-a65c131b54e4
117,State,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,8a3f8c30-d54b-4cfb-8365-ce4c3f285091
118,Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,411469bc-b89a-46a4-9c6f-70fc908a3b3c
119,Sub-Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Sub-Branch,,,True,,GroupOnValue,,,,0ff1c5a1-b444-4204-9a68-fc4ffff887b3
124,Branch,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,3e50def8-c5c4-4a2c-b9f2-a2ba80d229d1
125,Franchise,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,Franchise,,,True,,GroupOnValue,,,,f60d1d90-e4e7-471f-a03b-264c85667eff
127,DESCRIPTION,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,DESCRIPTION,,,True,,GroupOnValue,,,,6c7c4c5e-7467-42ee-9def-5b51a06d3862
128,Bin,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,Bin,,,True,,GroupOnValue,,,,63960ee5-2a97-4f91-a5ca-3b04f5f01f3a
140,user_field_3,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,user_field_3,,,True,,GroupOnValue,,,,e128556c-37eb-40d0-b02d-7541f50fb832
44527,Part No,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,Part No,,,True,,GroupOnValue,,,,2344295b-bdd5-4483-82e1-17e466d16190
44529,Bulk Bin,Parts_Low_Margin_jdis_InMaster,Text,Regular,,False,False,False,True,Default,None,,Data,Bulk Bin,,,True,,GroupOnValue,,,,5a6ce58d-c373-414d-a785-36b6189c2474
159,Quarter,dimDate,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Quarter,,,True,,GroupOnValue,,,,df89d95a-a1a8-43d8-b1e5-5f562d300760
161,Month,dimDate,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Month,,,True,,GroupOnValue,,,,3ccaff25-d6b8-48d3-a701-b3c421634333
