ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
260,Cost $,MeasuresTable,,,SUM(InTrans_Low_Margin[COST_VAL]),,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",2d4d9475-503c-4b9a-8951-624530abc74d
261,Sale $,MeasuresTable,,,"CALCULATE( SUM('InTrans_Low_Margin'[SALE_VAL]), 'InTrans_Low_Margin'[TYPE] = ""I"" )",,False,Valid,,False,,,,,549834f7-0594-4920-ac14-e1d98d2258df
262,Margin Value,MeasuresTable,,,[Sale $] - [Cost $],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",30e67e62-1998-4ce8-a040-fd9a92c3208b
263,Margin Value %,MeasuresTable,,,"
DIVIDE(
    [Margin Value],
    [Sale $],
    0
) ",,False,Valid,,False,,,,"""0.00%;-0.00%;0.00%""",c19709e1-ce32-40cf-bdab-591a0345f7b1
264,Measure Filter,MeasuresTable,,,"
VAR MinValue = MIN('Percentage Filter'[Value])
VAR MaxValue = MAX('Percentage Filter'[Value])
VAR CurrentMeasureValue = [Margin Value %]
RETURN
IF(
    CurrentMeasureValue >= MinValue && CurrentMeasureValue <= MaxValue,
    1,
    0
)",,False,Valid,,False,,,,"""0""",487d03d0-7a7f-4a9b-ae63-2f1b09528e34
265,Margin Color Code,MeasuresTable,,,"
SWITCH(
    TRUE(),
    [Margin Value %] < 0, 1,    -- Red
    [Margin Value %] >= 0 && [Margin Value %] < 0.05, 2,    -- Pink
    [Margin Value %] >= 0.05 && [Margin Value %] < 0.10, 3,   -- Orange
    [Margin Value %] >= 0.10 && [Margin Value %] <= 0.1499, 4,  -- Yellow
    BLANK()
)",,False,Valid,,False,,,,"""0""",cd534c8e-d49a-4fe2-8b00-db44c720dcdb
266,Cost,MeasuresTable,,,SUM('Parts_Low_Margin_jdis_InMaster'[Cost]),,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",ee9aeb8d-04f4-4a04-9205-c0f76009209a
267,Sell Price,MeasuresTable,,,SUM('Parts_Low_Margin_jdis_InMaster'[Sell Price]),,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",85598e74-d300-4736-aec3-3a7ba996e8c9
268,Cost Value,MeasuresTable,,,[Cost] * [Total SOH Qty],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",b29ada5a-cfed-4f16-94d9-7bbd2b5a16ff
269,Sell Value,MeasuresTable,,,[Sell Price] * [Total SOH Qty],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",735e8341-28bb-46fd-b9c7-41d2aecf7314
270,Desired Margin $,MeasuresTable,,,[Sell Value] - [Cost Value],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",40480baa-37a6-44f2-a05a-54cd35312854
271,Desired Margin %,MeasuresTable,,,"DIVIDE([Desired Margin $], [Sell Value], 0)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",532e1a50-73d3-4bc0-99e2-7fb42db8a089
272,Inventory Cost,MeasuresTable,,,SUM('Parts_Low_Margin_jdis_InMaster'[Inventory Cost]),,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",bf2867af-4b8d-4e68-8f96-caf98d8c967a
273,Actual Margin $,MeasuresTable,,,[Sell Value] - [Inventory Cost],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",90e62518-2de4-47a0-97aa-02009243f984
274,Actual Margin %,MeasuresTable,,,"DIVIDE([Actual Margin $], [Sell Value], 0)",,False,Valid,,False,,,,"""#,0.0%;-#,0.0%;#,0.0%""",cc8e78ed-cba1-4387-9b16-f17fa512ef8f
275,Margin $ Discrepancy,MeasuresTable,,,[Actual Margin $] - [Desired Margin $],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",e438b9fc-fba3-4f0d-8067-5d321bc7ff47
276,Sum of Positive Margin $ Discrepancy,MeasuresTable,,,"
SUMX(
    FILTER(
        ADDCOLUMNS(
            'Parts_Low_Margin_jdis_InMaster',
            ""MarginDiscrepancy"", [Margin $ Discrepancy]
        ),
        [MarginDiscrepancy] > 0
    ),
    [MarginDiscrepancy]
)",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",66a35714-9640-4dd6-86a6-dd489e2ac350
277,Sum of Negative Margin $ Discrepancy,MeasuresTable,,,"
SUMX(
    FILTER(
        ADDCOLUMNS(
            'Parts_Low_Margin_jdis_InMaster',
            ""MarginDiscrepancy"", [Margin $ Discrepancy]
        ),
        [MarginDiscrepancy] < 0
    ),
    [MarginDiscrepancy]
)",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",19aec11d-8aee-4d6f-9377-65b67a4b5297
278,Net Margin $ Discrepancy,MeasuresTable,,,"
[Sum of Positive Margin $ Discrepancy] + [Sum of Negative Margin $ Discrepancy]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",645ac71d-0639-4034-8857-3d2c9ff999c2
279,Measure Filter 2,MeasuresTable,,,"
VAR MinValue = MIN('Percentage Filter'[Value])
VAR MaxValue = MAX('Percentage Filter'[Value])
VAR CurrentMeasureValue = [Actual Margin %]
RETURN
IF(
    CurrentMeasureValue >= MinValue && CurrentMeasureValue <= MaxValue,
    1,
    0
)",,False,Valid,,False,,,,"""0""",e6addb71-a27b-428a-86ff-769b0c9d6281
280,Margin % Color Code,MeasuresTable,,,"
SWITCH(
    TRUE(),
    [Actual Margin %] >= .39999, 1,  // Dark Green
    [Actual Margin %] >= 0.305 && [Actual Margin %] <= 0.4, 3,  // Green
    [Actual Margin %] = .3 && [Actual Margin %] = 0.30, 2,  // White
    [Actual Margin %] >= 0.199 && [Actual Margin %] < 0.299, 4,  // Yellow
    [Actual Margin %] >= 0.099 && [Actual Margin %] < 0.199, 5,  // Orange
    [Actual Margin %] >= 0 && [Actual Margin %] < 0.099, 6,  // Red
    [Actual Margin %] <= 0, 7,  // Dark Red
    BLANK()
)",,False,Valid,,False,,,,"""0""",b1a5ea2b-485d-4d7a-b34c-df84496ef574
