ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
64,AutoDetected_8eaeda95-a617-4917-9ee2-eddbef5cdb30,'InTrans_Low_Margin'[Branch] *[<-]1 'Dim_Branch'[BranchID],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,InTrans_Low_Margin,Branch,Many,Dim_Branch,BranchID,One,,Single
65,fc70355d-699b-a460-79f6-a4f37adb79ac,'InTrans_Low_Margin'[Customer No] *[<-]1 'ArMaster_Customer_Low'[Customer_No],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,InTrans_Low_Margin,Customer No,Many,ArMaster_Customer_Low,Customer_No,One,,Single
70,61a0e3cc-7d54-e0c6-558e-5d27e6bd7cfc,'InTrans_Low_Margin'[Date] *[<-]1 'dimDate'[Date],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,InTrans_Low_Margin,Date,Many,dimDate,Date,One,,Single
47252,8befbb44-9bcd-9de6-def8-87419e2c764e,'InTrans_Low_Margin'[Part No] *[<-]1 'UniqueParts'[PART_NO],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,InTrans_Low_Margin,Part No,Many,UniqueParts,PART_NO,One,,Single
68,AutoDetected_33132c52-c15b-4e9a-9d8f-81aff870c06b,'Parts_Low_Margin_jdis_InMaster'[Branch] *[<-]1 'Dim_Branch'[BranchID],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,Parts_Low_Margin_jdis_InMaster,Branch,Many,Dim_Branch,BranchID,One,,Single
44525,4441f745-2e82-4024-a86a-e8450058b9fc,'Parts_Low_Margin_jdis_InMaster'[Date Last Requested] *[<-]1 'LocalDateTable_c92e6afb-2011-45c1-aa80-1f20ef42382c'[Date],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,Parts_Low_Margin_jdis_InMaster,Date Last Requested,Many,LocalDateTable_c92e6afb-2011-45c1-aa80-1f20ef42382c,Date,One,,Single
44526,6d6a4840-920c-4e9e-bb9e-1766b20896d2,'Parts_Low_Margin_jdis_InMaster'[Stock Take Date] *[<-]1 'LocalDateTable_0d258976-f40e-4bd7-8b8d-a1257cb779db'[Date],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,Parts_Low_Margin_jdis_InMaster,Stock Take Date,Many,LocalDateTable_0d258976-f40e-4bd7-8b8d-a1257cb779db,Date,One,,Single
73,AutoDetected_f1069980-5804-4d60-93cc-db3cecdfe5fc,'InMaster_Combine_Vault'[BRANCH] *[<-]1 'Dim_Branch'[BranchID],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,InMaster_Combine_Vault,Branch,Many,Dim_Branch,BranchID,One,,Single
47253,9efda9c3-7ff6-5f73-eed9-f352c43bfdc7,'InMaster_Combine_Vault'[PART_NO] *[<-]1 'UniqueParts'[PART_NO],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,InMaster_Combine_Vault,PART_NO,Many,UniqueParts,PART_NO,One,,Single
28978,8a270438-91f4-4261-8e74-3239e3c93a94,'Data Refresh'[Date] *[<-]1 'LocalDateTable_b0de20af-3411-4395-83b6-9ca6f679ea60'[Date],3cc2e14c-c8ea-4d70-9fca-9b43a737cbde,True,OneDirection,False,Data Refresh,Date,Many,LocalDateTable_b0de20af-3411-4395-83b6-9ca6f679ea60,Date,One,,Single
