ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
186,AdjustmentType,AdjustmentTypes,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,AdjustmentType,,,True,,GroupOnValue,,,,43e43449-011e-4df3-bba1-ef3c221ed0ad
188,AdjustmentType,AdjustmentValues,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,AdjustmentType,,,True,,GroupOnValue,,,,28e235f9-b3e0-4dc1-bcef-0c43a1a2c49e
190,BRANCH,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,BRANCH,,,True,,GroupOnValue,,,,b7076b40-32eb-40fa-87b8-7528efdece58
191,Franchise,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Franchise,,,True,,GroupOnValue,,,,5418b59f-bad1-4f31-8281-a8f0a72c235d
192,Part_No,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Part_No,,,True,,GroupOnValue,,,,15e3487a-20ff-4f18-b7e4-76c239a87470
193,DESCRIPTION,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DESCRIPTION,,,True,,GroupOnValue,,,,939ca4c4-036f-4a3c-99fc-ee4198f6a915
195,TYPE,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,TYPE,,,True,,GroupOnValue,,,,34f2694a-a73b-4d40-8946-9405f04d2429
197,REF_NO,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,REF_NO,,,True,,GroupOnValue,,,,9e2c3348-8ca3-4f52-a090-e5f79ba3372c
200,Salesman,NegativeTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Salesman,,,True,,GroupOnValue,,,,dcfcb578-fce6-40b2-9b20-b55af93dc31d
206,BRANCH,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,BRANCH,,,True,,GroupOnValue,,,,35a4dd5d-3486-4542-893a-3f1b2bc72a7f
207,Franchise,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Franchise,,,True,,GroupOnValue,,,,10e90df8-95d0-4cb3-9279-b17a63984898
208,Part_No,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Part_No,,,True,,GroupOnValue,,,,2d8c16cd-3e8a-4403-ac4e-16f17a839e9b
209,DESCRIPTION,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DESCRIPTION,,,True,,GroupOnValue,,,,340c9f44-44d2-4757-832d-3338d13c8477
211,TYPE,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,TYPE,,,True,,GroupOnValue,,,,7e42a2fc-e903-42b0-af3e-500691590606
213,REF_NO,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,REF_NO,,,True,,GroupOnValue,,,,96cf4e52-db67-42ba-b871-8a92e5cc06fe
216,Salesman,PositiveTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Salesman,,,True,,GroupOnValue,,,,dd659a16-a0bf-411f-87f9-45510199aaf7
222,Part_No,CombinedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Part_No,,,True,,GroupOnValue,,,,a760aedd-5d44-414a-ab2f-199c298a2236
225,TYPE,CombinedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,TYPE,,,True,,GroupOnValue,,,,59595e74-ad37-4cb5-b5d4-550fbd097e42
