ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
348,Adjustment $ (Net),MeasuresTable,,,SUM('InTrans_Parts_Adjust'[Cost]),,FALSE,Valid,,FALSE,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",ad44f646-a8c5-4c0b-81b4-0f118f38d1c3
349,Adjustment Qty (Net),MeasuresTable,,,SUM('InTrans_Parts_Adjust'[QTY]),,FALSE,Valid,,FALSE,,,,,1f3817ef-9104-4259-ab84-5d4f24356b6e
350,Total Parts,MeasuresTable,,,COUNT('jdis___Parts_Adjust'[Part_No]),,FALSE,Valid,,FALSE,,,,"""0""",bee9921f-9cdd-4c7a-86f4-6b16c97f8e3c
351,Total Cost,MeasuresTable,,,SUM('jdis___Parts_Adjust'[Cost]),,FALSE,Valid,,FALSE,,,,,5e96a189-bfaf-4a37-8931-4c3751b3904c
352,Adjustment Lines,MeasuresTable,,,COUNTROWS(InTrans_Parts_Adjust),,FALSE,Valid,,FALSE,,,,"""0""",e722d664-4b8d-4a44-815b-24b0f6f4cb89
353,Total Inventory $,MeasuresTable,,,SUM('jdis___Parts_Adjust'[In_Stock_Cost]),,FALSE,Valid,,FALSE,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",90fce06d-2fbb-4889-bc83-35909cd3e369
354,Adjustment $ to Inventory $,MeasuresTable,,,"DIVIDE([Total Adjustments $ (R12)] , [Total Inventory $], 0)",,FALSE,Valid,,FALSE,,,,"""0.0%;-0.0%;0.0%""",880b283e-0f14-4aca-9ddc-7dabdc631608
355,Adjustment Lines to Inventory Lines,MeasuresTable,,,"DIVIDE([Total Adjustment Lines (R12)], [Total Parts], 0)",,FALSE,Valid,,FALSE,,,,"""0.0%;-0.0%;0.0%""",247f86f4-2cc8-4344-945f-879410aa831c
356,Adjustment Qty to Inventory Qty,MeasuresTable,,,"DIVIDE([Total Qty (R12)] , [On Hand Qty], 0)",,FALSE,Valid,,FALSE,,,,"""0.0%;-0.0%;0.0%""",f1c2eb89-80b3-4ac0-a588-b29e3c6ff28b
357,Negative Adjustment $,MeasuresTable,,,"CALCULATE(
    SUM('InTrans_Parts_Adjust'[Cost]),
    'InTrans_Parts_Adjust'[Cost] < 0
)",,FALSE,Valid,,FALSE,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",122049dd-bd50-491f-af24-b18ea02e69f9
358,Positive Adjustment $,MeasuresTable,,,"CALCULATE(
    SUM('InTrans_Parts_Adjust'[Cost]),
    'InTrans_Parts_Adjust'[Cost] > 0
)",,FALSE,Valid,,FALSE,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",287a4031-3af5-4959-bc9c-763180b976df
