ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
100,fdf0f54f-b331-4653-8359-f93c694d60ef,'GlTrans___Parts_Adjust'[GLTRANS_DATE] *[<-]1 'LocalDateTable_fa2f3c9d-0f68-47b8-96ba-a5d395ba882f'[Date],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,GlTrans___Parts_Adjust,GLTRANS_DATE,Many,LocalDateTable_fa2f3c9d-0f68-47b8-96ba-a5d395ba882f,Date,One,,Single
106,5617c1b6-6045-3952-f204-13e4b19e1e2a,'GlTrans___Parts_Adjust'[DOC_REF] *[<->]* 'InTrans_Parts_Adjust'[REF_NO],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,BothDirections,False,GlTrans___Parts_Adjust,DOC_REF,Many,InTrans_Parts_Adjust,REF_NO,Many,,Single
101,AutoDetected_78c020f5-5d2e-4c9c-b59a-36cb39ff4599,'InTrans_Parts_Adjust'[Branch] *[<-]1 'Dim_Branch'[BranchID],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,InTrans_Parts_Adjust,Branch,Many,Dim_Branch,BranchID,One,,Single
103,56815280-c3d2-5173-24bd-c2bf7a23c819,'InTrans_Parts_Adjust'[Part_No] *[<-]1 'PartNoBridgingTable'[Part_No],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,InTrans_Parts_Adjust,Part_No,Many,PartNoBridgingTable,Part_No,One,,Single
105,03330c96-7363-ecd5-7dcd-f0997c3245ec,'InTrans_Parts_Adjust'[Trans_Date] *[<-]1 'dDate'[Date],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,InTrans_Parts_Adjust,Trans_Date,Many,dDate,Date,One,,Single
102,AutoDetected_854eb813-e20b-4c93-ad6c-b5450f2f86db,'jdis___Parts_Adjust'[Branch] *[<-]1 'Dim_Branch'[BranchID],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,jdis___Parts_Adjust,Branch,Many,Dim_Branch,BranchID,One,,Single
104,ea7e9bbd-e623-2b44-0cb3-8a5347a56eb5,'jdis___Parts_Adjust'[Part_No] *[<-]1 'PartNoBridgingTable'[Part_No],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,jdis___Parts_Adjust,Part_No,Many,PartNoBridgingTable,Part_No,One,,Single
114,c0efeb52-5c42-40e7-b18d-3c761c55744f,'NegativeTable'[Trans_Date] *[<-]1 'LocalDateTable_8ed1b779-9158-4081-bf64-dbcab02c74c1'[Date],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,NegativeTable,Trans_Date,Many,LocalDateTable_8ed1b779-9158-4081-bf64-dbcab02c74c1,Date,One,,Single
115,b5cd79fe-7bb9-48ff-8995-08293daecdaa,'NegativeTable'[Negative_Trans_Date] *[<-]1 'LocalDateTable_992a14ba-ea79-4d98-9805-c14c4e7b4f3e'[Date],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,NegativeTable,Negative_Trans_Date,Many,LocalDateTable_992a14ba-ea79-4d98-9805-c14c4e7b4f3e,Date,One,,Single
116,1ea395d5-9ab1-4218-a530-fa6cf183c2cc,'PositiveTable'[Trans_Date] *[<-]1 'LocalDateTable_75883237-0d0d-43f7-81d0-ca785d04218f'[Date],820af3ff-39d8-4e41-b03b-6754c8a217dd,True,OneDirection,False,PositiveTable,Trans_Date,Many,LocalDateTable_75883237-0d0d-43f7-81d0-ca785d04218f,Date,One,,Single
