ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
10,GlTrans___Parts_Adjust,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,,False,False,,f398569b-4c3a-40c8-bbf2-78b345daca18
13,DateTableTemplate_10954ce7-6673-4fb8-8dde-42756cb554d0,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,True,Import,,"Calendar(Date(2015,1,1), Date(2015,1,1))",False,True,,37dc7dee-c0f4-4add-bca9-c179ae2e6b24
16,LocalDateTable_fa2f3c9d-0f68-47b8-96ba-a5d395ba882f,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,True,Import,,"Calendar(Date(Year(MIN('GlTrans___Parts_Adjust'[GLTRANS_DATE])), 1, 1), Date(Year(MAX('GlTrans___Parts_Adjust'[GLTRANS_DATE])), 12, 31))",True,False,,badc2c4e-689f-444e-b578-affec9b372a4
19,InTrans_Parts_Adjust,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,,False,False,,c572b189-5228-414f-829e-b1c96765b73a
22,jdis___Parts_Adjust,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,,False,False,,8358228a-1da8-402f-b2a1-f144128f6444
25,Dim_Branch,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,,False,False,,8fede62a-b967-4e5d-b7c6-49e2511d9bd4
28,BridgingTable,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,True,Import,,"
DISTINCT(
    UNION(
        SELECTCOLUMNS('InTrans_Parts_Adjust', ""REF"", 'InTrans_Parts_Adjust'[REF_NO]),
        SELECTCOLUMNS('GlTrans___Parts_Adjust', ""REF"", 'GlTrans___Parts_Adjust'[REF])
    )
)",False,False,,2af659b7-049f-4a11-aaa6-f9ca1eff2d31
31,PartNoBridgingTable,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,True,Import,,"
DISTINCT(
    UNION(
        SELECTCOLUMNS('InTrans_Parts_Adjust', ""Part_No"", 'InTrans_Parts_Adjust'[Part_No]),
        SELECTCOLUMNS('jdis___Parts_Adjust', ""Part_No"", 'jdis___Parts_Adjust'[Part_No])
    )
)",False,False,,ca525c75-7816-493a-948e-2028025d0039
34,dDate,820af3ff-39d8-4e41-b03b-6754c8a217dd,Time,,False,Import,,CALENDARAUTO(),False,False,,3fbfbb45-f4a0-47e4-af10-dc828138e960
37,MeasuresTable,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"ADDCOLUMNS( 
    GENERATESERIES(1, 1), 
    ""DummyColumn"", 1 
)",False,False,,feaf49a9-f897-48a3-bf67-1bf5469a9c29
40,MeasureSelector,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"
DATATABLE(
    ""MeasureName"", STRING,
    ""MeasureIndex"", INTEGER,
    ""SortOrder"", INTEGER,
    {
        {""Adjustment $"", 0, 1},
        {""Qty"", 1, 2},
        {""Lines"", 2, 3}
    }
)",False,False,,773801d4-9cc5-43d6-938d-d4195dac9d7a
43,AdjustmentTypes,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"
DATATABLE(
    ""AdjustmentType"", STRING,
    ""AdjustmentValue"", INTEGER,
    {
        {""Positive Adjustment $ (R12)"", 0},
        {""Negative Adjustment $ (R12)"", 1}
    }
)",False,False,,3949d059-f05f-45f2-bcc3-9e1276d2b90e
46,AdjustmentValues,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"
UNION(
    SELECTCOLUMNS(
        'InTrans_Parts_Adjust',
        ""AdjustmentType"", ""Positive Adjustment $ (R12)"",
        ""AdjustmentValue"", 
        CALCULATE(
            SUM('InTrans_Parts_Adjust'[Cost]),
            'InTrans_Parts_Adjust'[Cost] > 0,
            DATESINPERIOD(
                'InTrans_Parts_Adjust'[Trans_Date],
                MAX('InTrans_Parts_Adjust'[Trans_Date]),
                -12,
                MONTH
            )
        )
    ),
    SELECTCOLUMNS(
        'InTrans_Parts_Adjust',
        ""AdjustmentType"", ""Negative Adjustment $ (R12)"",
        ""AdjustmentValue"", 
        CALCULATE(
            SUM('InTrans_Parts_Adjust'[Cost]),
            'InTrans_Parts_Adjust'[Cost] < 0,
            DATESINPERIOD(
                'InTrans_Parts_Adjust'[Trans_Date],
                MAX('InTrans_Parts_Adjust'[Trans_Date]),
                -12,
                MONTH
            )
        )
    )
)",False,False,,593b83f7-8f5c-4d84-8bc0-a8fd9e2508a2
49,NegativeTable,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"
FILTER (
    ADDCOLUMNS (
        InTrans_Parts_Adjust,
        ""Negative_QTY"", IF ( InTrans_Parts_Adjust[QTY] < 0, InTrans_Parts_Adjust[QTY], BLANK() ),
        ""Negative_Trans_Date"", InTrans_Parts_Adjust[Trans_Date]
    ),
    [Negative_QTY] <> BLANK()
)",False,False,,8b046f33-b21f-45ef-b678-e1ceda64bf57
52,PositiveTable,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"
FILTER (
    ADDCOLUMNS (
        InTrans_Parts_Adjust,
        ""Positive_QTY"", IF ( InTrans_Parts_Adjust[QTY] > 0, InTrans_Parts_Adjust[QTY], BLANK() ),
        ""Positive_Trans_Date"", InTrans_Parts_Adjust[Trans_Date]
    ),
    [Positive_QTY] <> BLANK()
)",False,False,,4fddbd3f-7a12-46f3-8e60-eaa7bb406386
55,CombinedTable,820af3ff-39d8-4e41-b03b-6754c8a217dd,Regular,,False,Import,,"
UNION (
    SELECTCOLUMNS (
        NegativeTable,
        ""Part_No"", NegativeTable[Part_No],
        ""QTY"", NegativeTable[Negative_QTY],
        ""Trans_Date"", NegativeTable[Negative_Trans_Date],
        ""Type"", ""Negative""
    ),
    SELECTCOLUMNS (
        PositiveTable,
        ""Part_No"", PositiveTable[Part_No],
        ""QTY"", PositiveTable[Positive_QTY],
        ""Trans_Date"", PositiveTable[Positive_Trans_Date],
        ""Type"", ""Positive""
    )
)",False,False,,8a4148c5-be39-49ab-a495-6309ab2aba86
