ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
200,CurrentDateTime,Data Refresh,Text,Regular,,True,False,False,True,Default,None,,Data,CurrentDateTime,,,True,,GroupOnValue,,,,26d24d4e-d512-4cd9-91fa-f11f2507e70b
411,Branch,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,709674ff-914c-41e4-bc69-2329258ea3da
412,BranchType,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchType,,,True,,GroupOnValue,,,,efd090fa-daed-45b9-bf06-a7dbab898678
413,BranchID,dim_BranchLocation,Text,Regular,,False,True,False,False,Default,None,,Data,BranchID,,,True,,GroupOnValue,,,,3ccd680d-77b2-409f-8723-a4f2ee7c6d5d
414,BranchName,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchName,,,True,,GroupOnValue,,,,706cd14b-9ede-4c95-b1b7-a6ca9e3619e1
415,LocationID,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,750ae8d0-abf9-4b1c-94ca-94b3f42cee3a
416,State,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,eff7c930-596e-459c-98d0-b3ca58f340ea
417,City,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,604b8d47-93cc-480a-9e64-651f6dd5ece0
79524,ServiceCapacity,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,ServiceCapacity,,,True,,GroupOnValue,,,,f5e86c29-8e1f-4879-a418-8ff404a24b06
79525,MarketPresence,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,MarketPresence,,,True,,GroupOnValue,,,,764a0865-0e9e-49b7-bf65-545d71894022
79526,TerritoryCoverage,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,TerritoryCoverage,,,True,,GroupOnValue,,,,d4eb4853-5faf-4861-a87f-93db1243602f
79528,RegionalClassification,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,RegionalClassification,,,True,,GroupOnValue,,,,124e7d8e-0167-4617-ba6f-ddecdbc67359
79529,ServiceHours,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,ServiceHours,,,True,,GroupOnValue,,,,ec774fb3-8de6-4d85-95bd-623313a9bcd5
