ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
197,Data Refresh,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,True,Import,,,False,False,,5d7b604e-97b7-4d33-ae36-90dbf7bda192
318,dim_BranchLocation,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,False,Import,,,False,False,,19d7293a-9939-4cf7-8d9c-47787074785e
321,dim_DateTable,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,False,Import,,,False,False,,37b958bf-49c8-4ebf-a200-391a3fc9f50d
5203,New Report Tables,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,True,Import,,INFO.VIEW.TABLES(),False,False,,253007d5-14bb-45c5-9e91-5954959628f1
5638,New Report Relationships,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,True,Import,,INFO.VIEW.RELATIONSHIPS(),False,False,,70c962e3-81db-4b89-bc7c-0098b2b26a5e
6636,New Report Columns,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,True,Import,,INFO.VIEW.COLUMNS(),False,False,,c2e159ea-a0d9-4388-a3d6-158b646b68dd
137859,_Measures,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,False,Import,,"{ ""This table holds all measures for the Parts Reorder Monitoring report"" }",False,False,,22e4b9e3-99b6-4634-9836-9ade5a5ea5a5
148512,Fact_Parts_Open_Tickets,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,False,Import,,,False,False,,9de46ef8-7389-4191-a927-5704bf70a225
148515,Fact_Parts_Open_Tickets_Details,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,False,Import,,,False,False,,141fda65-5b6f-4448-98dc-cfe9062d1dfd
159589,New Report Measures,39d18cec-b772-407f-920d-fc31cb76d601,Regular,,False,Import,,INFO.VIEW.MEASURES(),False,False,,a13d0ddc-66fb-41db-896e-e12db3b368fa
