ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
48,LocationID,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,241e6c41-eafe-4879-b980-5505529d8246
49,City,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,d4c25e48-1924-47f0-b4ff-ff42d689e8a3
50,State,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,33556ec1-9ddc-4e39-b84e-b10ba1712bc5
51,Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,57c6565c-7ed1-4fa0-9beb-7c368cf9dc32
52,Sub-Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Sub-Branch,,,True,,GroupOnValue,,,,1ccc529a-3d95-4409-ba25-ae46126d9465
53,Territory,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,Territory,,,True,,GroupOnValue,,,,cd927397-680a-4a6e-bef6-21756f995a5c
55,Customer,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,Customer,,,True,,GroupOnValue,,,,7225b553-9d74-4535-abb7-0d0548328007
56,Class,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,Class,,,True,,GroupOnValue,,,,ef3c7032-ed3f-454b-911a-14945b27dead
57,ContactClass,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,ContactClass,,,True,,GroupOnValue,,,,f2a82037-51cd-47cd-8d9e-a5eb3d7f66c3
58,Addr1,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,Addr1,,,True,,GroupOnValue,,,,feec5326-87e0-442a-a18c-97dcb0ecdec7
59,Addr2,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,Addr2,,,True,,GroupOnValue,,,,f8df105c-dbd8-45ac-afb9-15861db9c682
60,City,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,3ee453fd-44f7-45b5-ba3d-d2c44f2d53f9
61,State,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,b1c5afb5-a044-44a7-bfd6-ef073c1661e5
62,zip,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,zip,,,True,,GroupOnValue,,,,7474b9e2-8e65-4698-9157-be751bf6ff39
63,HomePhone,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,HomePhone,,,True,,GroupOnValue,,,,3a30ec71-255c-4da9-9c58-0e37a1a88b6d
64,BusinessPhone,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,BusinessPhone,,,True,,GroupOnValue,,,,63886788-670b-49cb-867e-41d947b39150
65,CellPhone,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,CellPhone,,,True,,GroupOnValue,,,,5206642a-8231-4578-a51c-ae19c540586f
66,Email,Base_Customer_Info,Text,Regular,,False,False,False,True,Default,None,,Data,Email,,,True,,GroupOnValue,,,,12b52c66-df3c-4a36-aeb6-d7297217c278
67,Branch,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,76b6614f-a483-468b-af8d-ac78ccf5eba4
68,FRANCHISE,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,FRANCHISE,,,True,,GroupOnValue,,,,d33a1abb-e4eb-4023-ad40-2404d7721ea4
69,customer_no,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,customer_no,,,True,,GroupOnValue,,,,02453f3d-0e86-484a-9ec2-963178d04d44
70,PART_NO,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,PART_NO,,,True,,GroupOnValue,,,,1f2b13f2-d89e-4353-b630-67720405f639
72,TYPE,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,TYPE,,,True,,GroupOnValue,,,,31601031-3dd8-4c5e-bd52-2948c1aca202
74,REF_NO,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,REF_NO,,,True,,GroupOnValue,,,,6e02427e-1b71-41d1-acac-b5925b1b4cd1
77,DESCRIPTION,Parts_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,DESCRIPTION,,,True,,GroupOnValue,,,,39897792-837d-47e2-bb08-792a09fde8de
112,Branch,InTrans_All_Promo,Text,Regular,,False,False,False,True,Default,None,,Data,Branch,,,True,,GroupOnValue,,,,fd1d600c-c41d-4df9-92fa-b826fa63f516
