ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
140,Discount,MeasuresTable,,,"
SUM ( Parts_Promo[SALE_VAL] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",20f0cc50-8f4d-4faa-b68d-b336037b0c3d
141,Cost Value,MeasuresTable,,,"
SUM ( Parts_Promo[Part_Cost] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",b0fa8323-c500-46df-b110-8a2b9bf0ca7a
142,Original Sale Value,MeasuresTable,,,"
SUM ( Parts_Promo[Part_Sales] )",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",53a7da8b-62f8-429b-b432-fee345fe085c
143,Original Margin $,MeasuresTable,,,"
[Original Sale Value] - [Cost Value]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",079397c2-a9a0-465e-8525-f3443c0816d7
144,Original Margin %,MeasuresTable,,,"
DIVIDE ( [Original Margin $], [Original Sale Value] )",,False,Valid,,False,,,,"""0.00%;-0.00%;0.00%""",083e6c93-828c-4947-8c33-67e198e92d0d
145,Net Sales Value,MeasuresTable,,,"
[Original Sale Value] + [Discount]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",dce02a37-32c3-4c69-aa6e-758484ba890d
146,Net Margin $,MeasuresTable,,,"
[Net Sales Value] - [Cost Value]",,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",8f6c80ab-7f56-4243-b37c-67ea1c47c5fe
147,Net Margin %,MeasuresTable,,,"
DIVIDE ( [Net Margin $], [Net Sales Value] )",,False,Valid,,False,,,,"""0.00%;-0.00%;0.00%""",c0afe6e1-78d6-4356-b2fd-554514ec408e
148,Discount %,MeasuresTable,,,"
DIVIDE ( ABS ( [Discount] ), [Original Sale Value] )",,False,Valid,,False,,,,"""0.00%;-0.00%;0.00%""",3dc1fcb3-6693-419a-b36c-150b9e431a71
149,Rolling12MonthCount,MeasuresTable,,,"
CALCULATE (
    COUNTROWS ( 'Parts_Promo' ),
    FILTER (
        'Parts_Promo',
        'Parts_Promo'[Rolling12MonthFlag] = 1
            && 'Parts_Promo'[PART_NO] = MAX ( 'Parts_Promo'[PART_NO] )
    )
)",,False,Valid,,False,,,,"""0""",f52f52b6-f96a-4a3c-bd8c-4ed38f68a8ce
150,PreviousYearRollingCount,MeasuresTable,,,"
CALCULATE (
    COUNTROWS ( 'Parts_Promo' ),
    FILTER (
        'Parts_Promo',
        'Parts_Promo'[PreviousYearRollingFlag] = 1
            && 'Parts_Promo'[PART_NO] = MAX ( 'Parts_Promo'[PART_NO] )
    )
)",,False,Valid,,False,,,,"""0""",af7ed383-bdad-4ae8-9566-776877c95f20
151,PercentChangeRolling,MeasuresTable,,,"
DIVIDE (
    [Rolling12MonthCount] - [PreviousYearRollingCount],
    [PreviousYearRollingCount],
    0
)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",181870e6-0af4-430d-ba9a-2c23fab1635f
