ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
40,AutoDetected_ce39b37a-08fa-4c66-9095-41479bd5591b,'Parts_Promo'[BRANCH] *[<-]1 'Dim_Branch'[BranchID],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,Parts_Promo,BRANCH,Many,Dim_Branch,BranchID,One,,Single
41,4b4056d7-73ec-c233-5170-bea7e424c398,'Parts_Promo'[customer_no] *[<-]1 'Base_Customer_Info'[Account],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,Parts_Promo,customer_no,Many,Base_Customer_Info,Account,One,,Single
42,fdeb0cf6-3ee0-5c11-c0f6-cdf4dfe1def6,'Parts_Promo'[Trans_Datetime] *[<-]1 'Date'[Date],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,Parts_Promo,Trans_Datetime,Many,Date,Date,One,,Single
7929,38ae3332-33de-bc42-e643-9306a60c17b6,'Parts_Promo'[REF_NO] *[<->]* 'InTrans_All_Promo'[REF_NO],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,BothDirections,False,Parts_Promo,REF_NO,Many,InTrans_All_Promo,REF_NO,Many,,Single
13199,6746a5ce-9f04-b77c-d7b4-3fc4dd9a62d8,'Parts_Promo'[Trans_Datetime] *[<-]1 'DateTable'[Date],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,Parts_Promo,Trans_Datetime,Many,DateTable,Date,One,,Single
43,AutoDetected_364b7d11-4a60-43af-949f-288ac798e277,'InTrans_All_Promo'[BRANCH] *[<-]1 'Dim_Branch'[BranchID],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,InTrans_All_Promo,BRANCH,Many,Dim_Branch,BranchID,One,,Single
13200,c81c1c88-f18f-87d0-ef1d-f60835d13ec5,'InTrans_All_Promo'[Trans_Datetime] *[<-]1 'DateTable'[Date],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,InTrans_All_Promo,Trans_Datetime,Many,DateTable,Date,One,,Single
14038,60c65d10-1d27-3355-c76a-f063e723e8a6,'InTrans_All_Promo'[Trans_Datetime] *[<-]1 'DateTable1'[Date],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,InTrans_All_Promo,Trans_Datetime,Many,DateTable1,Date,One,,Single
15667,eb52615a-6603-be37-514c-00191a89bb7d,'CalculatedTable'[BRANCH] *[<-]1 'Dim_Branch'[BranchID],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,CalculatedTable,BRANCH,Many,Dim_Branch,BranchID,One,,Single
15668,eef1e095-1600-f393-b766-e7c88d6d1401,'CalculatedTable'[Date] *[<-]1 'DateTable1'[Date],66d12a79-ff8b-4580-840f-dcbf8973aa4b,True,OneDirection,False,CalculatedTable,Date,Many,DateTable1,Date,One,,Single
