ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
7213,Branch,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Branch,,,True,,GroupOnValue,,,,409c9461-17e4-4f6a-a16e-02fc9ba22297
7215,Franchise,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Franchise,,,True,,GroupOnValue,,,,3df7a91b-337d-4dc5-97c1-48835b820899
7217,Description,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Description,,,True,,GroupOnValue,,,,6393da01-2455-4ca7-9055-64df89d53236
7221,Bin,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Bin,,,True,,GroupOnValue,,,,e4db50f5-484b-4e64-8be1-67a9895ff74e
7233,Combined,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Combined,,,True,,GroupOnValue,,,,35101126-5be2-4dde-a287-85ce7e5f490c
173510,Part No,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Part No,,,True,,GroupOnValue,,,,481bb6c7-dda3-4cc1-b72c-0b7a2d395bcc
173532,Bin-Part No,BinsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Bin-Part No,,,True,,GroupOnValue,,,,84675a5d-12d0-4c29-a852-2f17f01bdb7b
8894,Branch,PartsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Branch,,,True,,GroupOnValue,,,,bdca72b7-2c0c-423c-b75f-32332e65744a
8896,Franchise,PartsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Franchise,,,True,,GroupOnValue,,,,43bb375d-2778-457d-a23b-bbf174cf0af4
8898,Description,PartsNotCountedTable,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Description,,,True,,GroupOnValue,,,,b4129a7d-0217-4207-bc0c-53424b029958
