ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
3322,Bins Counted,MeasuresTable,,,"
    CALCULATE(
        DISTINCTCOUNT(jdis_Phy_Inv[Bin]),
        YEAR(jdis_Phy_Inv[Stocktake Date]) = YEAR(TODAY())
    )",,False,Valid,,False,,,,"""0""",2b942f6c-19f4-4b94-a565-9685e277c90a
3324,Parts Counted,MeasuresTable,,,"
    CALCULATE(
        DISTINCTCOUNT(jdis_Phy_Inv[Part No]),
        YEAR(jdis_Phy_Inv[Stocktake Date]) = YEAR(TODAY())
    )",,False,Valid,,False,,,,"""0""",f1b8e371-ffa0-4825-973f-8ef040f01d51
3326,Total Parts,MeasuresTable,,,DISTINCTCOUNT(jdis_Phy_Inv[Part No]),,False,Valid,,False,,,,"""0""",84be7e06-2613-4b06-bc46-1ab01980bd60
3328,Total Bins,MeasuresTable,,,DISTINCTCOUNT(jdis_Phy_Inv[Bin]),,False,Valid,,False,,,,"""0""",058f533f-dd36-4bd6-87ae-0472b9a65d0e
3332,Bins Left to Count,MeasuresTable,,,[Total Bins] - [Bins Counted],,False,Valid,,False,,,,"""0""",aef7c51c-8ab6-4630-bf81-8c57f83b6b4e
3334,Parts Left to Count,MeasuresTable,,,[Total Parts] - [Parts Counted],,False,Valid,,False,,,,"""0""",720a1d4a-82fc-4b61-a86c-196cc5e544d1
3336,% Bins Counted,MeasuresTable,,,"DIVIDE([Bins Counted], [Total Bins], 0)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",e74a1ecf-fa89-4f82-85c5-3bee1ae1cd52
3339,% Parts Counted,MeasuresTable,,,"DIVIDE([Parts Counted], [Total Parts], 0)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",58ff9db9-9f8d-443b-9739-a65b57424156
3342,Weeks Remaining,MeasuresTable,,,"
VAR CurrentWeek = WEEKNUM(TODAY())
VAR WeeksInYear = 52
RETURN WeeksInYear - CurrentWeek",,False,Valid,,False,,,,"""0""",a99dfa83-6ce8-424c-a267-3fe041d0e451
3344,Bins Per Week Remaining,MeasuresTable,,,"DIVIDE([Bins Left to Count], [Weeks Remaining], 0)",,False,Valid,,False,,,,"""0""",8785387b-b944-42f4-a40a-f19aa3216ce1
3589,Bins To Count Per Week,MeasuresTable,,,"
VAR TotalBins = [Total Bins]  
VAR WeeksInYear = 52
RETURN DIVIDE(TotalBins, WeeksInYear, 0)",,False,Valid,,False,,,,"""0""",35e51c53-1069-4d54-b4f0-fc77278d520a
3592,Weeks Passed,MeasuresTable,,,"
VAR CurrentWeek = WEEKNUM(TODAY())
RETURN CurrentWeek",,False,Valid,,False,,,,"""0""",410e7c31-a84f-48c6-901d-6ab235c0da29
3594,On Track % Bins1,MeasuresTable,,,"
    [Bins To Count Per Week] * [Weeks Passed] / [Total Bins]",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",0ce42190-3383-4076-9d54-faac55b2f412
3597,On Track % Bins Counted,MeasuresTable,,,[% Bins Counted] / [On Track % Bins1],,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",d268662c-8f79-4d6f-b975-2b8f81222566
3600,OnTrackColorCode,MeasuresTable,,,"
SWITCH(
    TRUE(),
    [Target % Bins] < 0.75 || [Target % Parts] < 0.75, 1,
    ([Target % Bins] >= 0.70 && [Target % Bins] < 0.9) || ([Target % Parts] >= 0.70 && [Target % Parts] < 0.9), 2,
    ([Target % Bins] >= 0.9 && [Target % Bins] < 1) || ([Target % Parts] >= 0.9 && [Target % Parts] < 1), 3,
    [Target % Bins] >= 1 || [Target % Parts] >= 1, 4,
    BLANK()
)",,False,Valid,,False,,,,"""0""",18084b98-7d46-4b48-b5f1-aaba163dd50a
3602,Parts Per Week Remaining,MeasuresTable,,,"DIVIDE([Parts Left to Count], [Weeks Remaining], 0)",,False,Valid,,False,,,,"""0""",e2093ba3-0631-414c-b76d-9a693700759c
3605,On Track % Parts1,MeasuresTable,,,"
VAR AvgPartsPerWeek = [Parts To Count Per Week]
VAR WeeksPassed = [Weeks Passed]
VAR TotalParts = [Total Parts]
VAR Calculatio = AvgPartsPerWeek * WeeksPassed
RETURN
    DIVIDE(Calculatio, TotalParts)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",35395323-1b18-4df7-ad86-61ac058be415
3607,Parts To Count Per Week,MeasuresTable,,,"DIVIDE([Total Parts], 52, 0)",,False,Valid,,False,,,,"""0""",1ebccf1e-6dfb-4fa8-ad5f-8fc6e1185988
3610,On Track % Part Counted,MeasuresTable,,,[% Parts Counted] / [On Track % Parts1],,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",56e376bc-9d4e-4254-a4a3-d61be18cc0b4
5694,CalculationByBranchParts,MeasuresTable,,,"ROUND([Parts To Count Per Week] * [Weeks Passed], 0)",,False,Valid,,False,,,,"""0""",72e2b42c-26b0-4a4b-b847-89736091cd9a
5739,Target % Parts,MeasuresTable,,,"DIVIDE([CalculationByBranchParts], [Total Parts], 0)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",237225d5-5c84-4676-9556-6a59c2bf4ddf
5828,Total Parts by Branch,MeasuresTable,,,"CALCULATE([Total Parts], ALLEXCEPT('jdis_Phy_Inv', 'jdis_Phy_Inv'[Branch]))",,False,Valid,,False,,,,"""0""",04965075-f214-496d-a9a0-fe60fb73c725
5938,CalculationByBranchBin,MeasuresTable,,,"ROUND([Bins To Count Per Week] * [Weeks Passed], 0)",,False,Valid,,False,,,,"""0""",bc488ff6-f40b-4658-9975-b264478688f2
5983,Target % Bins,MeasuresTable,,,"DIVIDE([CalculationByBranchBin], [Total Bins], 0)",,False,Valid,,False,,,,"""0.0%;-0.0%;0.0%""",e9bba686-ffaa-4f94-a36d-279683f0c5ed
