ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
3556,AutoDetected_6a89016d-b5e3-44d2-a05c-584d6ae72ff6,'jdis_Phy_Inv'[Branch] *[<-]1 'Dim_Branch'[BranchID],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,jdis_Phy_Inv,Branch,Many,Dim_Branch,BranchID,One,,Single
57990,60a59f0b-b908-6a78-f2f6-345e4b2b6d32,'jdis_Phy_Inv'[Franchise] *[<-]1 'Dim_Franchise'[Franchise],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,jdis_Phy_Inv,Franchise,Many,Dim_Franchise,Franchise,One,,Single
167531,335c8ed2-6683-48eb-81a6-4299e64a1785,'jdis_Phy_Inv'[Stocktake Date] *[<-]1 'LocalDateTable_b5b3ed34-09cb-4447-b972-044482ece3f9'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,jdis_Phy_Inv,Stocktake Date,Many,LocalDateTable_b5b3ed34-09cb-4447-b972-044482ece3f9,Date,One,,Single
167532,a4bd32e0-01b3-4da0-9ee7-941eb6a398a3,'jdis_Phy_Inv'[Date Created] *[<-]1 'LocalDateTable_cc551eda-c6f7-466e-9193-f2f6f0df0e7b'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,jdis_Phy_Inv,Date Created,Many,LocalDateTable_cc551eda-c6f7-466e-9193-f2f6f0df0e7b,Date,One,,Single
167533,ceb0b27e-b0a9-4936-ad92-48faffe0b48b,'jdis_Phy_Inv'[Last Activity Date] *[<-]1 'LocalDateTable_96976973-4080-4cd3-93b1-c235fa1a1f90'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,jdis_Phy_Inv,Last Activity Date,Many,LocalDateTable_96976973-4080-4cd3-93b1-c235fa1a1f90,Date,One,,Single
173624,8abeefe5-e1a6-bf77-ef8e-e90d141aeeed,'BinsNotCountedTable'[Branch] *[<-]1 'Dim_Branch'[BranchID],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,BinsNotCountedTable,Branch,Many,Dim_Branch,BranchID,One,,Single
173625,51c269bb-ac2f-0944-60ab-6a8a7353fce5,'BinsNotCountedTable'[Franchise] *[<-]1 'Dim_Franchise'[Franchise],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,BinsNotCountedTable,Franchise,Many,Dim_Franchise,Franchise,One,,Single
173626,d50b74d3-e202-443a-b8a6-bc160fb3b565,'BinsNotCountedTable'[Stocktake Date] *[<-]1 'LocalDateTable_1b95341e-e09c-44cf-98c8-ca743cb21f2f'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,BinsNotCountedTable,Stocktake Date,Many,LocalDateTable_1b95341e-e09c-44cf-98c8-ca743cb21f2f,Date,One,,Single
173627,386a1737-c78f-4d25-b08c-716500739146,'BinsNotCountedTable'[Date Created] *[<-]1 'LocalDateTable_51f00c87-1367-4098-b5cf-e6e06b4091ff'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,BinsNotCountedTable,Date Created,Many,LocalDateTable_51f00c87-1367-4098-b5cf-e6e06b4091ff,Date,One,,Single
173628,75770b37-7666-48c7-95f8-190429256587,'BinsNotCountedTable'[Last Activity Date] *[<-]1 'LocalDateTable_5c2c8501-4059-44d8-a54e-c6e10cf4a447'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,BinsNotCountedTable,Last Activity Date,Many,LocalDateTable_5c2c8501-4059-44d8-a54e-c6e10cf4a447,Date,One,,Single
170983,842b0e11-91e3-f5af-df99-5257ef785214,'PartsNotCountedTable'[Branch] *[<-]1 'Dim_Branch'[BranchID],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,PartsNotCountedTable,Branch,Many,Dim_Branch,BranchID,One,,Single
170984,7491cf3a-4a63-f155-f628-5dfdcf5a3e2b,'PartsNotCountedTable'[Franchise] *[<-]1 'Dim_Franchise'[Franchise],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,PartsNotCountedTable,Franchise,Many,Dim_Franchise,Franchise,One,,Single
170985,a1a14b3a-843c-4df5-9c03-7227c8024c0b,'PartsNotCountedTable'[Stocktake Date] *[<-]1 'LocalDateTable_e8a68c70-5174-4f01-bf5a-e22c67eefd02'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,PartsNotCountedTable,Stocktake Date,Many,LocalDateTable_e8a68c70-5174-4f01-bf5a-e22c67eefd02,Date,One,,Single
170986,4e533277-c04b-48b1-a465-6d70aa992da3,'PartsNotCountedTable'[Date Created] *[<-]1 'LocalDateTable_a0644146-c1ec-46d8-bdca-11b02ff67aec'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,PartsNotCountedTable,Date Created,Many,LocalDateTable_a0644146-c1ec-46d8-bdca-11b02ff67aec,Date,One,,Single
170987,3d3db532-21c1-4188-be41-f29df699ab98,'PartsNotCountedTable'[Last Activity Date] *[<-]1 'LocalDateTable_f4f9a0fc-ca7c-4140-bef3-7b0974bf3b22'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,PartsNotCountedTable,Last Activity Date,Many,LocalDateTable_f4f9a0fc-ca7c-4140-bef3-7b0974bf3b22,Date,One,,Single
118394,c0f9f9b5-b7b8-4f0a-bbb8-9bacd34eed9a,'Data Refresh'[CurrentDateTime] *[<-]1 'LocalDateTable_135d1ae5-54c5-45a0-9ed1-db6b6c7da471'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,Data Refresh,CurrentDateTime,Many,LocalDateTable_135d1ae5-54c5-45a0-9ed1-db6b6c7da471,Date,One,,Single
118395,7b67ca91-2826-419e-9ff1-6379b8c4eff3,'Data Refresh'[Date] *[<-]1 'LocalDateTable_0f82d426-7199-4113-919f-88a85294901f'[Date],3df63b14-981a-43a0-9cca-0080a037da0b,True,OneDirection,False,Data Refresh,Date,Many,LocalDateTable_0f82d426-7199-4113-919f-88a85294901f,Date,One,,Single
