ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
200,CurrentDateTime,Data Refresh,Text,Regular,,False,False,False,True,Default,None,,Data,CurrentDateTime,,,True,,GroupOnValue,,,,26d24d4e-d512-4cd9-91fa-f11f2507e70b
1127,BranchType,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchType,,,True,,GroupOnValue,,,,d03e2be0-8cd2-4393-b601-1c3d08199997
1128,BranchID,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchID,,,True,,GroupOnValue,,,,70413038-507a-4819-93e7-f0d6d777df20
1129,BranchName,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,BranchName,,,True,,GroupOnValue,,,,3c235ccc-9b7b-4da4-b7dd-d83ae7449390
1130,LocationID,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,1a6c7bd4-a7c3-47e9-abae-38dca61d9380
1131,State,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,08848b64-74ba-4723-a7c9-db083b576c54
1132,City,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,375134c1-39b2-49fa-9d64-6debcdd55d52
1134,PartNumber,dim_Parts,Text,Regular,,False,False,False,True,Default,None,,Data,PartNumber,,,True,,GroupOnValue,,,,fb9b7909-4b2d-4883-9699-a7af359a3a8f
1135,Description,dim_Parts,Text,Regular,,False,False,False,True,Default,None,,Data,Description,,,True,,GroupOnValue,,,,f7fb5a41-6c0e-492e-b01b-eaace8368718
1136,franchise,dim_Parts,Text,Regular,,False,False,False,True,Default,None,,Data,franchise,,,True,,GroupOnValue,,,,2571e0cc-85d8-419a-9b6d-21b364b0c77c
1138,PartNumber,Fact_Inventory,Text,Regular,,False,False,False,True,Default,None,,Data,PartNumber,,,True,,GroupOnValue,,,,a12abc78-f882-4687-beeb-e2a9478e9878
1140,Description,Fact_Inventory,Text,Regular,,False,False,False,True,Default,None,,Data,Description,,,True,,GroupOnValue,,,,56082443-5931-4a56-a728-18c7c2512635
7523,Returnable,Fact_Inventory,Text,Regular,,False,False,False,True,Default,None,,Data,Returnable,,,True,,GroupOnValue,,,,15679158-0172-49d5-b85b-e968a1726e55
1158,franchise,dim_Franchise,Text,Regular,,False,False,False,True,Default,None,,Data,franchise,,,True,,GroupOnValue,,,,b8cec8bd-52b3-49eb-90c8-ea4f543db981
2481,CustomerNo,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,CustomerNo,,,True,,GroupOnValue,,,,0fb37206-31cf-4f2c-a01d-eb337d9401e5
2484,Territory,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,Territory,,,True,,GroupOnValue,,,,e729d3bb-6699-4848-b4e1-9ed2d23c6502
2485,PrimaryName,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,PrimaryName,,,True,,GroupOnValue,,,,45f2d897-627e-44ff-bb1e-e3e25c8dd63e
2487,PartNumber,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,PartNumber,,,True,,GroupOnValue,,,,f72b769f-8dad-4696-a5ff-7edaea098569
2490,Type,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,Type,,,True,,GroupOnValue,,,,93583599-251c-4fe5-b8b4-e1c05a107729
2491,RONumber,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,RONumber,,,True,,GroupOnValue,,,,4aa787ec-cce7-4a52-9225-447ef5f134e3
2492,TransactionDescription,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,TransactionDescription,,,True,,GroupOnValue,,,,4ba7db2b-bfb0-4e9c-a1de-89c582758582
8004,CustomerTradeType,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,CustomerTradeType,,,True,,GroupOnValue,,,,44e08842-3ce1-492c-a5c1-c650b88f6a19
8005,TransactionTradeType,Fact_Part_Transactions,Text,Regular,,False,False,False,True,Default,None,,Data,TransactionTradeType,,,True,,GroupOnValue,,,,1a467ed2-92af-43fe-b73b-e5261807d7f9
8870,Name,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Name,,,True,,GroupOnValue,,,,ad8e0b55-9a4b-43da-8a98-26782718347b
8872,Table,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Table,,,True,,GroupOnValue,,,,e17aa6e7-d8ce-4fee-abd4-005bb0343dcd
8874,Description,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Description,,,True,,GroupOnValue,,,,43159e73-0f3a-448a-9dcf-a876765b7202
8876,DataType,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataType,,,True,,GroupOnValue,,,,740b934f-3484-4b7b-a8b9-5277ca9302d2
8878,Expression,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Expression,,,True,,GroupOnValue,,,,c9b760e8-e5cb-4345-b7b2-1d7e5d9c8ff3
8880,FormatString,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FormatString,,,True,,GroupOnValue,,,,8ebd7b1b-1958-48f9-8abf-9f6069134242
8884,State,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,State,,,True,,GroupOnValue,,,,45fd5a0d-7427-4214-b5a2-becb61614db2
8890,DisplayFolder,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DisplayFolder,,,True,,GroupOnValue,,,,e9953eb2-d9bf-4839-8095-fa9965cc88bc
8892,DetailRowsDefinition,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DetailRowsDefinition,,,True,,GroupOnValue,,,,f516a042-2f73-4dac-96b1-e0df4d27b5f6
8894,DataCategory,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataCategory,,,True,,GroupOnValue,,,,7f33271d-a965-48ea-a76b-b38091367ad7
8896,FormatStringDefinition,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FormatStringDefinition,,,True,,GroupOnValue,,,,a90c3c9f-30d7-41c8-a256-057fe3f2c148
8898,LineageTag,Table DAX Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,LineageTag,,,True,,GroupOnValue,,,,e31c3281-d692-4a24-b1c9-cc6c1540d75c
9747,Name,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Name,,,True,,GroupOnValue,,,,17cb3d7e-d61c-463b-b9da-0ffe26cf39d7
9749,Model,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Model,,,True,,GroupOnValue,,,,2ed6b857-1194-4756-a73a-50f5ad5c36db
9751,DataCategory,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataCategory,,,True,,GroupOnValue,,,,086a8eb8-a6a9-4030-b881-5678589e5ea4
9753,Description,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Description,,,True,,GroupOnValue,,,,d97b575e-570c-4120-b267-196e49303919
9757,StorageMode,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,StorageMode,,,True,,GroupOnValue,,,,8cda3f29-d992-4621-9632-ef1b880148b9
9759,TableStorage,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,TableStorage,,,True,,GroupOnValue,,,,df04c78c-9628-4a56-a8d5-6d2764560492
9761,Expression,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Expression,,,True,,GroupOnValue,,,,c9af0fc0-f0ac-43cf-a9fe-8a679adb0cb9
9769,LineageTag,Tables Info,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,LineageTag,,,True,,GroupOnValue,,,,6f8d2a98-1236-4323-beaa-475de389fa22
11085,Name,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Name,,,True,,GroupOnValue,,,,3c08c5d1-7ab3-4ee0-8cdc-4c4c168a1dde
11087,Table,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Table,,,True,,GroupOnValue,,,,d8e9e028-0d41-400e-8a95-44af786e2e20
11089,DataType,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataType,,,True,,GroupOnValue,,,,974db96f-1899-4af9-be9a-9c7893f20cd5
11091,DataCategory,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataCategory,,,True,,GroupOnValue,,,,86b4516c-ec01-4693-9ab6-1081e9e39001
11093,Description,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Description,,,True,,GroupOnValue,,,,a1a1c81f-f9aa-4026-abd2-42caaf777074
11103,Alignment,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Alignment,,,True,,GroupOnValue,,,,559925f9-3c11-4130-b031-c5bee7fa1587
11105,SummarizeBy,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,SummarizeBy,,,True,,GroupOnValue,,,,8d448623-6566-4cb0-9f50-1dd623f5d2d5
11107,ColumnStorage,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,ColumnStorage,,,True,,GroupOnValue,,,,97abf40d-27e6-481a-b38e-751ca2bc7466
11109,Type,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Type,,,True,,GroupOnValue,,,,e55f2641-9dae-4498-8113-3613a24eb397
11111,SourceColumn,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,SourceColumn,,,True,,GroupOnValue,,,,0a66f515-a555-42d3-8466-c3fcfbae8cbb
11113,Expression,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Expression,,,True,,GroupOnValue,,,,d40a3025-4956-4e2c-88f6-4768c3955e71
11115,FormatString,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FormatString,,,True,,GroupOnValue,,,,e29a8b70-4bbc-4177-9c48-b6a3a6ffd23d
11119,SortByColumn,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,SortByColumn,,,True,,GroupOnValue,,,,33e40604-355f-4290-910d-c02599bc60b6
11121,GroupingBehavior,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,GroupingBehavior,,,True,,GroupOnValue,,,,9bc32f2b-75fe-4666-bca4-3027ea85b9e9
11123,SourceProviderType,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,SourceProviderType,,,True,,GroupOnValue,,,,8f5230dd-5c22-493f-91bd-a2a1cfc6fefd
11125,DisplayFolder,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DisplayFolder,,,True,,GroupOnValue,,,,3dd8bccd-ad59-4aee-8d6a-355945d13d95
11127,AlternateOf,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,AlternateOf,,,True,,GroupOnValue,,,,e874fbc9-d91c-44c0-9e0c-09bb3f4b2036
11129,LineageTag,Table Columns,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,LineageTag,,,True,,GroupOnValue,,,,b711f44c-f02b-41af-a39d-0de281c38339
13536,Name,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Name,,,True,,GroupOnValue,,,,ac2de364-d321-4ffa-8d88-29ea4c371f2f
13538,Relationship,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Relationship,,,True,,GroupOnValue,,,,c2219f8a-0eba-445b-bcda-ce23fdbf618a
13540,Model,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Model,,,True,,GroupOnValue,,,,c21fcf20-aabd-4cf1-916f-aa522e39050c
13544,CrossFilteringBehavior,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,CrossFilteringBehavior,,,True,,GroupOnValue,,,,e1571417-6418-4786-ae6e-97dbcd93bca7
13548,FromTable,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FromTable,,,True,,GroupOnValue,,,,ca9721f5-2c98-4e05-ab34-54a92ea2ae4e
13550,FromColumn,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FromColumn,,,True,,GroupOnValue,,,,0885eca5-6bb7-4055-9731-88e8edf92e95
13552,FromCardinality,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FromCardinality,,,True,,GroupOnValue,,,,f084fbd2-e3a4-42bb-9767-4ea8fc38c85a
13554,ToTable,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,ToTable,,,True,,GroupOnValue,,,,66aba7ac-61f6-4d2b-bcbc-2da95ad014b4
13556,ToColumn,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,ToColumn,,,True,,GroupOnValue,,,,5c50c4f1-1d75-4a5e-9da9-65624539f233
13558,ToCardinality,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,ToCardinality,,,True,,GroupOnValue,,,,2cff3f92-b33d-460d-80bb-48842e614ce5
13560,State,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,State,,,True,,GroupOnValue,,,,a56321a2-e31a-4d7e-8694-85654f572bba
13562,SecurityFilteringBehavior,Table Relationships,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,SecurityFilteringBehavior,,,True,,GroupOnValue,,,,24dd6cb8-e60f-4ac7-8e0c-e74c49eae103
313,branch,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,branch,,,True,,GroupOnValue,,,,42761006-a55b-49d2-9683-88db8e69033f
314,franchise,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,franchise,,,True,,GroupOnValue,,,,d9d824f7-eef6-4de5-aa7e-34fa0211520a
315,vendor_code,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,vendor_code,,,True,,GroupOnValue,,,,6cdd4049-e0c4-40ce-97fc-451617dee70d
316,vendor_name,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,vendor_name,,,True,,GroupOnValue,,,,21fdb6e8-1f89-43ba-a61c-5ea60e0aca9d
317,price_admin_code_type,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,price_admin_code_type,,,True,,GroupOnValue,,,,5f007600-2cb4-47bd-9903-d5ad17f3dc18
318,price_admin_code,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,price_admin_code,,,True,,GroupOnValue,,,,03514513-c666-4903-9441-5d0d6d31921e
319,price_type,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,price_type,,,True,,GroupOnValue,,,,20ba6a2d-2546-4aaf-ae44-3da4d918e33c
322,include_exchange_part,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,include_exchange_part,,,True,,GroupOnValue,,,,b95599bc-2943-4a13-9366-63b0b1cd860e
323,price_based_on,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,price_based_on,,,True,,GroupOnValue,,,,db0f92b9-8550-4fac-bb51-2d406d687615
325,exchange_part_price_percent,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,exchange_part_price_percent,,,True,,GroupOnValue,,,,5ad67003-517b-4e09-8038-715761cd7c7a
326,created_by,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,created_by,,,True,,GroupOnValue,,,,914e5b54-3437-4112-a622-ae53702eb6a8
327,created_date,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,created_date,,,True,,GroupOnValue,,,,e534f4c2-e00b-4fda-a3ae-5cc75e1d49bd
328,modified_by,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,modified_by,,,True,,GroupOnValue,,,,ae69544d-24f0-4252-9089-9ea9843dea79
329,modified_date,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,modified_date,,,True,,GroupOnValue,,,,6ff4c7a5-0d21-4c0f-a773-3755b853513c
330,select_all,Price_Matrix,Text,Regular,,True,False,False,True,Default,None,,Data,select_all,,,True,,GroupOnValue,,,,3ef14140-dac1-4775-bd1c-c3d6c6978d7e
1126,branch,dim_BranchLocation,Text,Regular,,False,False,False,True,Default,None,,Data,branch,,,True,LocationID,GroupOnValue,,,,4e514d22-37d2-4f82-9b14-f6afc560c906
980,Range,Price_Matrix,Text,Regular,,False,False,False,True,Default,None,,Calculated,,"""$"" & FORMAT([value_from], ""#,##0.00"") & "" - $"" & FORMAT([value_to], ""#,##0.00"")",,True,Range Sort,GroupOnValue,,,,00fc745e-da87-4394-9d8f-0dad1dbdd904
98,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,MeasuresTable,Integer,RowNumber,,True,True,True,False,Default,Default,,RowNumber,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,,True,,GroupOnValue,,,,
198,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Data Refresh,Integer,RowNumber,,True,True,True,False,Default,Default,,RowNumber,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,,True,,GroupOnValue,,,,
310,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Price_Matrix,Integer,RowNumber,,True,True,True,False,Default,Default,,RowNumber,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,,True,,GroupOnValue,,,,
320,value_from,Price_Matrix,Number,Regular,,False,False,False,True,Default,Sum,,Data,value_from,,,True,,GroupOnValue,,,,7b80a704-13bb-4969-ab87-e4c6300a1fbc
321,value_to,Price_Matrix,Number,Regular,,False,False,False,True,Default,Sum,,Data,value_to,,,True,,GroupOnValue,,,,a39d3010-fe39-4c9f-a50e-ba91cc5812d9
1034,Range Sort,Price_Matrix,Number,Regular,,False,False,False,True,Default,Sum,,Calculated,,[value_from],,True,,GroupOnValue,,,,7b5e0480-6e01-48f5-8ac6-d8c3643b9aca
1114,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,dim_BranchLocation,Integer,RowNumber,,True,True,True,False,Default,Default,,RowNumber,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,,True,,GroupOnValue,,,,
1117,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,dim_Parts,Integer,RowNumber,,True,True,True,False,Default,Default,,RowNumber,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,,True,,GroupOnValue,,,,
1120,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Fact_Inventory,Integer,RowNumber,,True,True,True,False,Default,Default,,RowNumber,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,,,True,,GroupOnValue,,,,
1147,InventoryCost,Fact_Inventory,Number,Regular,,False,False,False,True,Default,Sum,,Data,InventoryCost,,,True,,GroupOnValue,,,,19a7725e-b6c1-44bb-b6e1-9ce4907f53bf
1148,BinQty,Fact_Inventory,Number,Regular,,False,False,False,True,Default,Sum,,Data,BinQty,,,True,,GroupOnValue,,,,7e858a9c-16e7-4a5e-95e1-1cb781f1394d
