ID,Name,Relationship,Model,IsActive,CrossFilteringBehavior,RelyOnReferentialIntegrity,FromTable,FromColumn,FromCardinality,ToTable,ToColumn,ToCardinality,State,SecurityFilteringBehavior
235929,e6062e89-5502-3144-9a72-2581c629b30a,'Price_Matrix'[Range] *[<-]1 'Range Selection'[Range],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Price_Matrix,Range,Many,Range Selection,Range,One,,Single
2227,AutoDetected_9aa32814-33d0-4773-b321-1ca89c0b0317,'Fact_Inventory'[BranchKey] *[<-]1 'dim_BranchLocation'[BranchKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,BranchKey,Many,dim_BranchLocation,BranchKey,One,,Single
2228,AutoDetected_5f40732f-846d-48e9-913a-64d22d97d28d,'Fact_Inventory'[PartNumberKey] *[<-]1 'dim_Parts'[PartNumberKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,PartNumberKey,Many,dim_Parts,PartNumberKey,One,,Single
2229,AutoDetected_056981f8-bda8-4589-994b-d58ccc42fcd9,'Fact_Inventory'[FranchiseKey] *[<-]1 'dim_Franchise'[FranchiseKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,FranchiseKey,Many,dim_Franchise,FranchiseKey,One,,Single
149424,AutoDetected_65da9f28-99e8-4beb-bd0a-312e0bb0c4b3,'Fact_Inventory'[VendorCodeKey] *[<-]1 'dim_VendorCode'[VendorCodeKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,VendorCodeKey,Many,dim_VendorCode,VendorCodeKey,One,,Single
149425,AutoDetected_77b3844f-8cbd-4466-a55e-7d18d92509e9,'Fact_Inventory'[SourceKey] *[<-]1 'dim_Source'[SourceKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,SourceKey,Many,dim_Source,SourceKey,One,,Single
149426,AutoDetected_bab90842-180f-48ea-8e49-18dd7f4c7509,'Fact_Inventory'[SLCKey] *[<-]1 'dim_SLC'[SLCKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,SLCKey,Many,dim_SLC,SLCKey,One,,Single
149427,AutoDetected_b9da0f09-c7b3-467f-b242-2b24943917b9,'Fact_Inventory'[DealerGroupKey] *[<-]1 'dim_DealerGroupCode'[DealerGroupKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Inventory,DealerGroupKey,Many,dim_DealerGroupCode,DealerGroupKey,One,,Single
3107,AutoDetected_b447a8a1-8403-49de-85ef-5bb2027c383b,'Fact_Part_Transactions'[PartNumberKey] *[<-]1 'dim_Parts'[PartNumberKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Part_Transactions,PartNumberKey,Many,dim_Parts,PartNumberKey,One,,Single
3108,AutoDetected_cdcb1f96-aae6-445d-9e29-71f864e926b9,'Fact_Part_Transactions'[FranchiseKey] *[<-]1 'dim_Franchise'[FranchiseKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Part_Transactions,FranchiseKey,Many,dim_Franchise,FranchiseKey,One,,Single
8801,AutoDetected_519ab105-440c-41f5-9f21-4479aa61ece7,'Fact_Part_Transactions'[BranchKey] *[<-]1 'dim_BranchLocation'[BranchKey],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Part_Transactions,BranchKey,Many,dim_BranchLocation,BranchKey,One,,Single
161091,3d3bec5a-1322-c1f8-2681-fea88a3f23e3,'Fact_Part_Transactions'[TransactionDate] *[<-]1 'dim_DateTable'[Date],e6b13a5b-fd67-4adb-b270-2f7cee788087,True,OneDirection,False,Fact_Part_Transactions,TransactionDate,Many,dim_DateTable,Date,One,,Single
