ID,Name,Model,DataCategory,Description,IsHidden,StorageMode,TableStorage,Expression,ShowAsVariationOnly,IsPrivate,CalculationGroupPrecedence,LineageTag
97,MeasuresTable,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,"ADDCOLUMNS( GENERATESERIES(1, 1), ""DummyColumn"", 1 )",False,False,,0d039455-6ff6-47ec-acba-7d08b99b993f
197,Data Refresh,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,True,Import,,,False,False,,5d7b604e-97b7-4d33-ae36-90dbf7bda192
309,Fact_UniqueCustomer_Parts,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,6dc150ac-f361-4a6c-9133-cbf05c1c1b05
312,Fact_Part_Transactions,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,f29fd144-f4e0-4f1d-b864-ac882761f0a8
315,dim_InvoiceLookup,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,ce7146f6-7e79-4243-a75a-6df663cc03f3
318,dim_BranchLocation,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,19d7293a-9939-4cf7-8d9c-47787074785e
321,dim_DateTable,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,37b958bf-49c8-4ebf-a200-391a3fc9f50d
324,dim_CustomerList,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,f9bf5c6d-eae8-45aa-9677-621bee1aefeb
327,dim_Franchise,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,c9970260-bc33-498c-bb1c-e69f59a20616
330,dim_Parts,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,,False,False,,86082ece-d0bb-4fe9-8863-222c2c420a2b
5203,New Report Tables,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,INFO.VIEW.TABLES(),False,False,,253007d5-14bb-45c5-9e91-5954959628f1
5638,New Report Relationships,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,INFO.VIEW.RELATIONSHIPS(),False,False,,70c962e3-81db-4b89-bc7c-0098b2b26a5e
6636,New Report Columns,1d51a05c-f185-4ee6-8137-b66ccb7b33af,Regular,,False,Import,,INFO.VIEW.COLUMNS(),False,False,,c2e159ea-a0d9-4388-a3d6-158b646b68dd
