ID,Name,Table,DataType,DataCategory,Description,IsHidden,IsUnique,IsKey,IsNullable,Alignment,SummarizeBy,ColumnStorage,Type,SourceColumn,Expression,FormatString,IsAvailableInMDX,SortByColumn,GroupingBehavior,SourceProviderType,DisplayFolder,AlternateOf,LineageTag
33,contact_code,ArMaster_Customer_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,contact_code,,,True,,GroupOnValue,,,,8377ee8f-f021-4448-befc-53e99dd99909
34,Trade Type,ArMaster_Customer_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,Trade Type,,,True,,GroupOnValue,,,,3f3ad6df-4ab9-424b-9804-e9c39375d052
37,surname,ArMaster_Customer_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,surname,,,True,,GroupOnValue,,,,455c10a4-bad4-428d-a882-a39e66396258
38,first name,ArMaster_Customer_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,first name,,,True,,GroupOnValue,,,,9150505b-cf88-4258-b42a-821539c02856
39,Company Name,ArMaster_Customer_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,Company Name,,,True,,GroupOnValue,,,,ac895990-dda7-4d3d-8472-e4537208086d
40,Name,ArMaster_Customer_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,Name,,,True,,GroupOnValue,,,,f80fe9c1-2696-41cf-8338-a6a9eb7844fb
42,BRANCH,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,BRANCH,,,True,,GroupOnValue,,,,82434592-d973-43f8-97b9-17aa876f545b
43,FRANCHISE,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,FRANCHISE,,,True,,GroupOnValue,,,,28a77804-310f-4e6d-bda3-64c988ca12f6
46,Customer No,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,Customer No,,,True,,GroupOnValue,,,,5b6a4ccd-0d99-4a6e-8c45-ff825a60f416
14436,DESCRIPTION,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,DESCRIPTION,,,True,,GroupOnValue,,,,b31f2f70-77c9-4e48-bc75-ade4d5eb2f8e
14437,JOB_TYPE,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,JOB_TYPE,,,True,,GroupOnValue,,,,bac41a40-a161-40e1-859f-b6bbde787d51
14438,Type,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,Type,,,True,,GroupOnValue,,,,57900293-a598-489e-85ac-02ed977f04af
17456,REF_NO,InTrans_Unique,Text,Regular,,False,False,False,True,Default,None,,Data,REF_NO,,,True,,GroupOnValue,,,,1d39fdec-b27e-4842-90e9-5a752cc20690
64,LocationID,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,LocationID,,,True,,GroupOnValue,,,,8a6c4e6f-9c8b-4ce8-b7de-5664dba82884
65,City,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,City,,,True,,GroupOnValue,,,,8f369aea-7db1-4ec1-8cc1-4e7dad70bc16
66,State,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,State,,,True,,GroupOnValue,,,,a4bd85f2-405e-4f6e-b16b-4907f8e880a7
67,BRANCH,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,BRANCH,,,True,,GroupOnValue,,,,60fcf91d-211b-4330-8b8a-2c38095626e8
68,Sub-Branch,Dim_Branch,Text,Regular,,False,False,False,True,Default,None,,Data,Sub-Branch,,,True,,GroupOnValue,,,,7d4858ba-0110-4715-be72-84f5e850cadc
18789,invo_type,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,invo_type,,,True,,GroupOnValue,,,,779f148e-c0e9-4063-9b96-d50e720896b6
18791,cust_ord_no,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,cust_ord_no,,,True,,GroupOnValue,,,,01e7c324-e9a3-41e7-96c5-6d2fe6a23546
18800,customer_no,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,customer_no,,,True,,GroupOnValue,,,,20d83370-ed7b-497f-8b4a-46eb59b0cf20
18802,surname,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,surname,,,True,,GroupOnValue,,,,b807b4b2-8055-4eef-b1a5-945e49e36771
18803,Name,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,Name,,,True,,GroupOnValue,,,,8a28fa2a-a49f-4575-b589-1ec493b279d0
18804,company_name,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,company_name,,,True,,GroupOnValue,,,,8bf47397-a34e-40d0-9919-3d908e9fa0d3
20884,BRANCH,Invoice,Text,Regular,,False,False,False,True,Default,None,,Data,BRANCH,,,True,,GroupOnValue,,,,7f33afe5-dad1-4456-8326-b341c796f875
24871,Name,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Name,,,True,,GroupOnValue,,,,74cff828-28a5-4800-8c89-ad74aa25e151
24873,Table,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Table,,,True,,GroupOnValue,,,,9f2402aa-1921-4a8c-b1c0-c80bd552d5ba
24875,DESCRIPTION,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DESCRIPTION,,,True,,GroupOnValue,,,,7036f6fe-648d-46fb-ae59-f2d6c6ae1fc9
24877,DataType,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataType,,,True,,GroupOnValue,,,,10079eac-e6d5-4c11-95f4-0c576dff643a
24879,Expression,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,Expression,,,True,,GroupOnValue,,,,7a288564-afde-43af-9f13-1ac762ef0ca8
24881,FormatString,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FormatString,,,True,,GroupOnValue,,,,23d57c42-6152-45e3-8241-68671c588eaa
24885,State,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,State,,,True,,GroupOnValue,,,,63891468-e038-44ee-b384-fda5f6032d53
24891,DisplayFolder,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DisplayFolder,,,True,,GroupOnValue,,,,f2155648-3f11-4df6-aab7-7de3d7567e0f
24893,DetailRowsDefinition,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DetailRowsDefinition,,,True,,GroupOnValue,,,,c30a6b28-7fc8-4b3d-861d-fd79b01ed175
24895,DataCategory,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,DataCategory,,,True,,GroupOnValue,,,,11047e4d-6910-4b5e-b72c-7ab1e4923445
24897,FormatStringDefinition,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,FormatStringDefinition,,,True,,GroupOnValue,,,,53a5262d-0671-40b3-a577-98726816bc10
24899,LineageTag,Current-Measures,Text,Regular,,False,False,False,True,Default,None,,CalculatedTableColumn,LineageTag,,,True,,GroupOnValue,,,,93c66aa8-59fb-423d-bc16-5c609d593410
