ID,Name,Table,Description,DataType,Expression,FormatString,IsHidden,State,KPIID,IsSimpleMeasure,DisplayFolder,DetailRowsDefinition,DataCategory,FormatStringDefinition,LineageTag
79,COS,InTrans_Unique,,,SUM(InTrans_Unique[Cost]),,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",a89a49e1-050c-41f9-b2ff-2bcd8807d96a
80,Sales,InTrans_Unique,,,SUM(InTrans_Unique[Sales_Val]),,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",d4e2942d-5b3b-47f8-b818-b7e3b600eada
81,Margin $,InTrans_Unique,,,[Sales] - [COS],,False,Valid,,False,,,,"""\$#,0.00;(\$#,0.00);\$#,0.00""",a8e8afd1-219b-446a-bdfa-6670b9079dc9
82,Margin %,InTrans_Unique,,,"DIVIDE( [Margin $], [Sales], 0 )",,False,Valid,,False,,,,"""0.00%;-0.00%;0.00%""",cc352749-1c35-4d6f-a404-3d16912e2666
83,YTD vs PYTD Comparison,InTrans_Unique,,,"
IF(
    [YTD Sales] > [Previous Year Sales], 
    1, 
    IF(
        [YTD Sales] < [Previous Year Sales], 
        -1, 
        0
    )
)
",,False,Valid,,False,,,,"""0""",86915356-0246-4b37-85b3-dcb8e7d49432
84,PYTD vs Sales Comparison,InTrans_Unique,,,"
IF(
    [Previous Year Sales] > [YTD Sales], 
    1, 
    IF(
        [Previous Year Sales] < [YTD Sales], 
        -1, 
        0
    )
)
",,False,Valid,,False,,,,"""0""",4e4a62d4-19a9-4378-9866-4ce636da18e7
85,Margin $ vs PMargin $ Comparison,InTrans_Unique,,,"
IF(
    [YTD Margin $] > [Previous Year Margin $], 
    1, 
    IF(
        [YTD Margin $] < [Previous Year Margin $], 
        -1, 
        0
    )
)",,False,Valid,,False,,,,"""0""",603f3d42-1717-4205-a1a3-de8ba3c0b2c5
86,PCOS vs COS Compairison,InTrans_Unique,,,"
IF(
    [Previous Year COS] > [YTD COS], 
    1, 
    IF(
        [Previous Year COS] < [YTD COS], 
        -1, 
        0
    )
)",,False,Valid,,False,,,,"""0""",fe910bad-cbc4-4200-aecb-15cf072c5f3a
87,COS Icon,InTrans_Unique,,,"
IF(
    [YTD COS] > [Previous Year COS], 
    ""▲"", 
    IF(
        [YTD COS] < [Previous Year COS], 
        ""▼"", 
        """"
    )
)",,False,Valid,,False,,,,,64cf30bb-0408-4a58-8a75-18b368675727
88,COS with Icon,InTrans_Unique,,,"
FORMAT([YTD COS], ""Currency"") & "" "" & [COS Icon]",,False,Valid,,False,,,,,203984c9-444c-49d2-8ca3-7b8594d33f43
89,PCOS Icon,InTrans_Unique,,,"
IF(
    [Previous Year COS] > [YTD COS], 
    ""▲"", 
    IF(
        [Previous Year COS] < [YTD COS], 
        ""▼"", 
        """"
    )
)",,False,Valid,,False,,,,,d0369f0f-57bf-42b7-9669-92c14d6250da
90,PCOS with Icon,InTrans_Unique,,,"
FORMAT([Previous Year COS], ""Currency"") & "" "" & [PCOS Icon]",,False,Valid,,False,,,,,9f955ed4-99bf-45eb-8a20-28b0e7babfcb
91,Sales vs PSales Comparison,InTrans_Unique,,,"
IF(
    [YTD Sales] > [Previous Year Sales], 
    1, 
    IF(
        [YTD Sales] < [Previous Year Sales], 
        -1, 
        0
    )
)",,False,Valid,,False,,,,"""0""",be8a67ee-ed1e-431e-97ff-fc8d2f43171d
92,Sales Icon,InTrans_Unique,,,"
IF(
    [YTD Sales] > [Previous Year Sales], 
    ""▲"", 
    IF(
        [YTD Sales] < [Previous Year Sales], 
        ""▼"", 
        """"
    )
)",,False,Valid,,False,,,,,2831e94c-ff5c-46c1-bcf7-81571fc9a331
93,Sales with Icon,InTrans_Unique,,,"
FORMAT([YTD Sales], ""Currency"") & "" "" & [Sales Icon]",,False,Valid,,False,,,,,da0b7787-1dbd-4dca-910a-0cd042ef634e
94,PSales vs Sales Comparison,InTrans_Unique,,,"
IF(
    [Previous Year Sales] > [YTD Sales], 
    1, 
    IF(
        [Previous Year Sales] < [YTD Sales], 
        -1, 
        0
    )
)",,False,Valid,,False,,,,"""0""",2341cd78-725a-4f51-b131-a3285639b014
95,PSales Icon,InTrans_Unique,,,"
IF(
    [Previous Year Sales] > [YTD Sales], 
    ""▲"", 
    IF(
        [Previous Year Sales] < [YTD Sales], 
        ""▼"", 
        """"
    )
)",,False,Valid,,False,,,,,2de59031-4fbf-4de6-b2e2-b3a3bc615f4b
96,PSales with Icon,InTrans_Unique,,,"
FORMAT([Previous Year Sales], ""Currency"") & "" "" & [PSales Icon]",,False,Valid,,False,,,,,d5c8418c-5e40-4a98-b8df-745ecd1dbe74
